id,name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id
GEN-JMB-0001,PLTP Kamojang,PLTP,235.85,Jawa Barat,Jamali,existing,Indonesia Power;Pertamina Geothermal Energy,,-7.1397629,107.7857855,relation/7406922,geothermal,,OSM-overpass
GEN-JMB-0002,PLTU Cikarang Babelan,PLTU,280.0,Jawa Barat,Jamali,existing,PT Cikarang Listrindo Power Company,combustion,-6.1165849,107.0514438,relation/10113339,coal,,OSM-overpass
GEN-JMB-0003,PLN Area Pasuruan,Unknown,,Jawa Timur,Jamali,existing,Perusahaan Listrik Negara,,-7.652269,112.9002799,relation/14439475,,NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-JMB-0004,PTLU Cirebon,PLTU,,Jawa Barat,Jamali,existing,,combustion,-6.7736638,108.6238972,relation/16305203,coal,NO_CAPACITY,OSM-overpass
GEN-JMB-0005,(unnamed),Unknown,,Jawa Timur,Jamali,existing,,,-6.7834359,111.7776777,relation/17194068,,NO_NAME;NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-JMB-0006,(unnamed),Unknown,,Jawa Timur,Jamali,existing,,,-6.7836247,111.7837553,relation/17285692,,NO_NAME;NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-JMB-0007,PT. Cassava Buana Wira Jatim,Unknown,,Jawa Timur,Jamali,existing,,,-6.7903822,111.7951814,relation/17315973,,NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-JMB-0008,(unnamed),Unknown,,Jawa Timur,Jamali,existing,,,-7.0844574,112.1088687,relation/17367092,,NO_NAME;NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-JMB-0009,(unnamed),Unknown,,Jawa Timur,Jamali,existing,,,-6.9606762,111.7156959,relation/17414003,,NO_NAME;NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-JMB-0010,PLTS Kota Bukit Indah,PLTS,100.0,Jawa Barat,Jamali,existing,,photovoltaic,-6.4533535,107.4621785,relation/17882002,solar,,OSM-overpass
GEN-JMB-0011,PLTS Pertamina Cilacap,PLTS,1.34,Jawa Tengah,Jamali,existing,,photovoltaic,-7.703451,109.0441292,relation/18148217,solar,,OSM-overpass
GEN-JMB-0012,Pembangkit Listrik Tenaga Air Lodoyo,PLTM,7.88,Jawa Timur,Jamali,existing,,,-8.1490885,112.1903692,relation/18294398,hydro,,OSM-overpass
GEN-JMB-0013,(unnamed),Unknown,,Jawa Timur,Jamali,existing,Indonesia Power,,-6.8795151,112.024733,relation/18778100,,NO_NAME;NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-JMB-0014,Pembangkit Listrik Tenaga Air Jatigede,PLTA,110.0,Jawa Barat,Jamali,existing,,,-6.8425405,108.1036601,relation/18815647,hydro,,OSM-overpass
GEN-JMB-0015,PLTGU Muara Karang,PLTGU,1908.0,DKI Jakarta,Jamali,existing,PT Pembangkitan Jawa Bali,combustion,-6.1100844,106.784575,way/29367652,gas,,OSM-overpass
GEN-JMB-0016,PLTU Cilacap,PLTU,2121.0,Jawa Tengah,Jamali,existing,PT Sumber Segara Primadaya,combustion,-7.6848962,109.0931198,way/92905337,coal,,OSM-overpass
GEN-JMB-0017,Pembangkit Listrik Tenaga Uap Perak,Unknown,,Jawa Timur,Jamali,existing,,,-7.2080634,112.7229227,way/138097183,,NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-JMB-0018,Star Energy Geothermal Salak,PLTP,183.0,Jawa Barat,Jamali,existing,Star Energy Geothermal,,-6.7405243,106.6728159,way/166624588,geothermal,,OSM-overpass
GEN-JMB-0019,PLTU Cirebon Unit 1,PLTU,660.0,Jawa Barat,Jamali,existing,PT Cirebon Electric Power,combustion,-6.771152,108.6156734,way/166699718,coal,,OSM-overpass
GEN-JMB-0020,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-6.7363711,106.6696355,way/167369571,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0021,(unnamed),PLTP,,Banten,Jamali,existing,,,-6.745843,106.6414132,way/167369572,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0022,PLTU Tanjung Jati B,PLTU,4640.0,Jawa Tengah,Jamali,existing,PT Pembangkitan Jawa Bali,combustion,-6.4470482,110.7426922,way/195105317,coal,,OSM-overpass
GEN-JMB-0023,PLTU 400 MW PT Krakatau Chandra Energi,PLTU,400.0,Banten,Jamali,existing,PT Krakatau Chandra Energi,combustion,-5.9937986,105.9834238,way/203604070,gas,,OSM-overpass
GEN-JMB-0024,PLTA Tulungagung,PLTA,35.72,Jawa Timur,Jamali,existing,PT Pembangkitan Jawa Bali,,-8.2531883,111.7939406,way/230785724,hydro,,OSM-overpass
GEN-JMB-0025,PLTP Wayang Windu,PLTP,225.17,Jawa Barat,Jamali,existing,Star Energy Geothermal,,-7.1979719,107.6259776,way/237756221,geothermal,,OSM-overpass
GEN-JMB-0026,PLTA Plengan,PLTA,6.87,Jawa Barat,Jamali,existing,Indonesia Power,run-of-the-river,-7.1687677,107.5538124,way/238069084,hydro,,OSM-overpass
GEN-JMB-0027,PLTDG Pesanggaran,PLTG,325.0,Bali,Jamali,existing,Indonesia Power,combustion,-8.7177819,115.2112913,way/239759321,gas,,OSM-overpass
GEN-JMB-0028,PLTA Jatiluhur,PLTA,180.0,Jawa Barat,Jamali,existing,Perum Jasa Tirta II,water-storage,-6.5220082,107.3892187,way/255192635,hydro,,OSM-overpass
