id,name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id
GEN-NTT-0001,PLTD Tenau,PLTD,6.4,Nusa Tenggara Timur,NTT,existing,,combustion,-10.1884429,123.5464335,way/150155344,diesel,,OSM-overpass
GEN-NTT-0002,PLTD Wolomarang,PLTD,3.0,Nusa Tenggara Timur,NTT,existing,,combustion,-8.5967197,122.1905953,way/244246232,diesel,,OSM-overpass
GEN-NTT-0003,PLN Cabang Magepanda,Unknown,,Nusa Tenggara Timur,NTT,existing,,,-8.5360286,122.0463851,way/410503813,,NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-NTT-0004,Pembangkit Listrik Tenaga Surya,PLTS,1.0,Nusa Tenggara Timur,NTT,existing,PT Buana Energi Surya Persada,,-9.5391303,120.2227955,way/515587640,solar,,OSM-overpass
GEN-NTT-0005,(unnamed),Unknown,,Nusa Tenggara Timur,NTT,existing,PT Perusahaan Listrik Negara,,-9.6742626,120.2276152,way/527176121,,NO_NAME;NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-NTT-0006,PLTA-MH,PLTA,,Nusa Tenggara Timur,NTT,existing,,,-8.7162892,121.9746966,way/597434946,,NO_CAPACITY,OSM-overpass
GEN-NTT-0007,PLTU Bolok,PLTU,33.0,Nusa Tenggara Timur,NTT,existing,,,-10.2393253,123.4913586,way/611789533,coal,,OSM-overpass
GEN-NTT-0008,PLTU Atapupu,PLTU,,Nusa Tenggara Timur,NTT,existing,,,-9.005082,124.8180958,way/614569627,,NO_CAPACITY,OSM-overpass
GEN-NTT-0009,PLTMG Kupang,PLTMG,40.0,Nusa Tenggara Timur,NTT,existing,,,-10.353854,123.4593698,way/716898232,gas,,OSM-overpass
GEN-NTT-0010,PLTS Oelpuah,PLTS,5.0,Nusa Tenggara Timur,NTT,existing,PT Lembaga Elektronik Nasional (LEN),photovoltaic,-10.1469168,123.7486233,way/798987869,solar,,OSM-overpass
GEN-NTT-0011,(unnamed),PLTA,,Nusa Tenggara Timur,NTT,existing,,run-of-the-river,-8.7601128,120.5704061,way/845393015,hydro,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-NTT-0012,PLTS Maumere,PLTS,2.0,Nusa Tenggara Timur,NTT,existing,,photovoltaic,-8.6296498,122.3282918,way/937059859,solar,,OSM-overpass
GEN-NTT-0013,PLTMG Maumere,PLTMG,40.0,Nusa Tenggara Timur,NTT,existing,,,-8.6198021,122.3410147,way/937059861,gas,,OSM-overpass
GEN-NTT-0014,PLTU Ropa,PLTU,14.0,Nusa Tenggara Timur,NTT,existing,,,-8.5106178,121.6998428,way/937059863,coal,,OSM-overpass
GEN-NTT-0015,PLTMG Flores,PLTMG,20.0,Nusa Tenggara Timur,NTT,existing,,,-8.4610735,119.9435178,way/937059866,gas,,OSM-overpass
GEN-NTT-0016,PLTG Ulumbu,PLTG,10.0,Nusa Tenggara Timur,NTT,existing,,,-8.7260519,120.4355139,way/937059867,geothermal,,OSM-overpass
GEN-NTT-0017,PLTU Timor-1,PLTU,100.0,Nusa Tenggara Timur,NTT,existing,,combustion,-10.3501327,123.4589058,way/1198315805,coal,,OSM-overpass
GEN-NTT-0018,PLTP Sokoria,PLTP,8.0,Nusa Tenggara Timur,NTT,existing,,,-8.7929784,121.76608,way/1313835498,geothermal,,OSM-overpass
GEN-NTT-0019,PLTS Nembrala,PLTS,0.1,Nusa Tenggara Timur,NTT,existing,,photovoltaic,-10.8839841,122.8307471,way/1322035311,solar,,OSM-overpass
GEN-NTT-0020,PLTS Praimbana,PLTS,0.13,Nusa Tenggara Timur,NTT,existing,,photovoltaic,-10.0089602,120.4800836,way/1322035319,solar,,OSM-overpass
GEN-NTT-0021,PLTS Solor Barat,PLTS,0.275,Nusa Tenggara Timur,NTT,existing,PT PLN,photovoltaic,-8.5302927,122.9381078,way/1322035330,solar,,OSM-overpass
GEN-NTT-0022,PLTS Palue,PLTS,0.76,Nusa Tenggara Timur,NTT,existing,,photovoltaic,-8.3069116,121.7060922,way/1322035334,solar,,OSM-overpass
GEN-NTT-0023,PLTS Seraya Marranu,PLTS,0.19,Nusa Tenggara Timur,NTT,existing,,photovoltaic,-8.3938237,119.857453,way/1322035336,solar,,OSM-overpass
