id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag
GEN-JMB-0001,GEN-JMB-0001,RUPTL-JMB-P-0001,PLTP Kamojang,PLTP,235.85,Jawa Barat,Jamali,existing,Utility,Indonesia Power;Pertamina Geothermal Energy,,-7.1397629,107.7857855,CONFIRMED_MATCH,1.00,"coord 0.0 km ≤ 2.0, type=PLTP matches, capacity diff 0% ≤ 20%",ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,235.85,235.85,PLTP,PLTP,Utility,,false,false,,false,relation/7406922,geothermal,OSM-overpass,
GEN-JMB-0002,GEN-JMB-0002,RUPTL-JMB-P-0002,PLTU Cikarang Babelan,PLTU,280.0,Jawa Barat,Jamali,existing,Utility,PT Cikarang Listrindo Power Company,combustion,-6.1165849,107.0514438,PROBABLE_MATCH,0.80,"nama-stem sama ('cikarang babelan'), jarak 0.0 km",ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,280.0,392.0,PLTU,PLTU,Utility,,true,false,,false,relation/10113339,coal,OSM-overpass,
RUPTL:RUPTL-JMB-P-0003,,RUPTL-JMB-P-0003,PLTS Fictional Site 999,PLTS,50.0,Jawa Barat,,Planned,,,,-6.5,108.0,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,50.0,,PLTS,,,,,,,,,,
GEN-JMB-0004,GEN-JMB-0004,,PTLU Cirebon,PLTU,,Jawa Barat,Jamali,existing,Utility,,combustion,-6.7736638,108.6238972,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,,,PLTU,,Utility,,,,,,relation/16305203,coal,OSM-overpass,NO_CAPACITY
GEN-JMB-0010,GEN-JMB-0010,,PLTS Kota Bukit Indah,PLTS,100.0,Jawa Barat,Jamali,existing,Utility,,photovoltaic,-6.4533535,107.4621785,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,100.0,,PLTS,,Utility,,,,,,relation/17882002,solar,OSM-overpass,
GEN-JMB-0011,GEN-JMB-0011,,PLTS Pertamina Cilacap,PLTS,1.34,Jawa Tengah,Jamali,existing,Captive,,photovoltaic,-7.703451,109.0441292,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,1.34,,PLTS,,Captive,,,,,,relation/18148217,solar,OSM-overpass,
GEN-JMB-0012,GEN-JMB-0012,,PLTA Lodoyo,PLTM,7.88,Jawa Timur,Jamali,existing,Utility,,,-8.1490885,112.1903692,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,7.88,,PLTM,,Utility,,,,,,relation/18294398,hydro,OSM-overpass,
GEN-JMB-0014,GEN-JMB-0014,,PLTA Jatigede,PLTA,110.0,Jawa Barat,Jamali,existing,Utility,,,-6.8425405,108.1036601,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,110.0,,PLTA,,Utility,,,,,,relation/18815647,hydro,OSM-overpass,
GEN-JMB-0015,GEN-JMB-0015,,PLTGU Muara Karang,PLTGU,1908.0,DKI Jakarta,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,combustion,-6.1100844,106.784575,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,1908.0,,PLTGU,,Utility,,,,,,way/29367652,gas,OSM-overpass,
GEN-JMB-0016,GEN-JMB-0016,,PLTU Cilacap,PLTU,2121.0,Jawa Tengah,Jamali,existing,Utility,PT Sumber Segara Primadaya,combustion,-7.6848962,109.0931198,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,2121.0,,PLTU,,Utility,,,,,,way/92905337,coal,OSM-overpass,
GEN-JMB-0017,GEN-JMB-0017,,PLTU Perak,PLTU,150.0,Jawa Timur,Jamali,existing,Utility,,,-7.2080634,112.7229227,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,150.0,,PLTU,,Utility,,,,,,way/138097183,,OSM-overpass,NO_CAPACITY;NO_TYPE
GEN-JMB-0018,GEN-JMB-0018,,PLTP Star Energy Salak,PLTP,183.0,Jawa Barat,Jamali,existing,Utility,Star Energy Geothermal,,-6.7405243,106.6728159,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,183.0,,PLTP,,Utility,,,,,,way/166624588,geothermal,OSM-overpass,
GEN-JMB-0019,GEN-JMB-0019,,PLTU Cirebon Unit 1,PLTU,660.0,Jawa Barat,Jamali,existing,Utility,PT Cirebon Electric Power,combustion,-6.771152,108.6156734,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,660.0,,PLTU,,Utility,,,,,,way/166699718,coal,OSM-overpass,
GEN-JMB-0020,GEN-JMB-0020,,(unnamed),PLTP,,Jawa Barat,Jamali,existing,Utility,,,-6.7363711,106.6696355,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,,,PLTP,,Utility,,,,,,way/167369571,geothermal,OSM-overpass,NO_NAME;NO_CAPACITY
GEN-JMB-0021,GEN-JMB-0021,,(unnamed),PLTP,,Jawa Barat,Jamali,existing,Utility,,,-6.745843,106.6414132,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,,,PLTP,,Utility,,,,,,way/167369572,geothermal,OSM-overpass,NO_NAME;NO_CAPACITY
GEN-JMB-0022,GEN-JMB-0022,,PLTU Tanjung Jati B,PLTU,4640.0,Jawa Tengah,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,combustion,-6.4470482,110.7426922,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,4640.0,,PLTU,,Utility,,,,,,way/195105317,coal,OSM-overpass,
GEN-JMB-0023,GEN-JMB-0023,,PLTU 400 MW PT Krakatau Chandra Energi,PLTU,400.0,Banten,Jamali,existing,Captive,PT Krakatau Chandra Energi,combustion,-5.9937986,105.9834238,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,400.0,,PLTU,,Captive,,,,,,way/203604070,gas,OSM-overpass,
GEN-JMB-0024,GEN-JMB-0024,,PLTA Tulungagung,PLTA,35.72,Jawa Timur,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,,-8.2531883,111.7939406,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,35.72,,PLTA,,Utility,,,,,,way/230785724,hydro,OSM-overpass,
GEN-JMB-0025,GEN-JMB-0025,,PLTP Wayang Windu,PLTP,225.17,Jawa Barat,Jamali,existing,Utility,Star Energy Geothermal,,-7.1979719,107.6259776,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,225.17,,PLTP,,Utility,,,,,,way/237756221,geothermal,OSM-overpass,
GEN-JMB-0026,GEN-JMB-0026,,PLTA Plengan,PLTA,6.87,Jawa Barat,Jamali,existing,Utility,Indonesia Power,run-of-the-river,-7.1687677,107.5538124,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,6.87,,PLTA,,Utility,,,,,,way/238069084,hydro,OSM-overpass,
GEN-JMB-0027,GEN-JMB-0027,,PLTDG Pesanggaran,PLTG,325.0,Bali,Jamali,existing,Utility,Indonesia Power,combustion,-8.7177819,115.2112913,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,325.0,,PLTG,,Utility,,,,,,way/239759321,gas,OSM-overpass,
GEN-JMB-0028,GEN-JMB-0028,,PLTA Jatiluhur,PLTA,180.0,Jawa Barat,Jamali,existing,Utility,Perum Jasa Tirta II,water-storage,-6.5220082,107.3892187,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,180.0,,PLTA,,Utility,,,,,,way/255192635,hydro,OSM-overpass,
GEN-JMB-0029,GEN-JMB-0029,,PLTA Mendalan,PLTA,20.7,Jawa Timur,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,water-storage,-7.8558747,112.3219827,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,20.7,,PLTA,,Utility,,,,,,way/262153181,hydro,OSM-overpass,
GEN-JMB-0030,GEN-JMB-0030,,PLTA Siman,PLTA,10.2,Jawa Timur,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,water-storage,-7.8291099,112.3081502,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,10.2,,PLTA,,Utility,,,,,,way/262153183,hydro,OSM-overpass,
GEN-JMB-0031,GEN-JMB-0031,,PLTA Sutami,PLTA,103.0,Jawa Timur,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,water-storage,-8.1613555,112.4441829,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,103.0,,PLTA,,Utility,,,,,,way/262452224,hydro,OSM-overpass,
GEN-JMB-0032,GEN-JMB-0032,,PLTA Wadaslintang,PLTA,18.0,Jawa Tengah,Jamali,existing,Utility,Indonesia Power,water-storage,-7.6095298,109.7794284,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,18.0,,PLTA,,Utility,,,,,,way/268796622,hydro,OSM-overpass,
GEN-JMB-0033,GEN-JMB-0033,,PLTA Garung,PLTA,26.4,Jawa Tengah,Jamali,existing,Utility,Indonesia Power,,-7.2922895,109.9216996,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,26.4,,PLTA,,Utility,,,,,,way/268796623,hydro,OSM-overpass,
GEN-JMB-0034,GEN-JMB-0034,,PLTU Labuan Banten,PLTU,600.0,Banten,Jamali,existing,Utility,Indonesia Power,combustion,-6.393699,105.8296988,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,600.0,,PLTU,,Utility,,,,,,way/269098785,coal,OSM-overpass,
GEN-JMB-0035,GEN-JMB-0035,,PLTU Indramayu,PLTU,990.0,Jawa Barat,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,combustion,-6.2755073,107.9719225,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,990.0,,PLTU,,Utility,,,,,,way/269492237,coal,OSM-overpass,
GEN-JMB-0036,GEN-JMB-0036,,PLTGU Muara Tawar,PLTGU,2593.0,DKI Jakarta,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,combustion,-6.086259,106.9985262,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,2593.0,,PLTGU,,Utility,,,,,,way/269508907,gas,OSM-overpass,
GEN-JMB-0037,GEN-JMB-0037,,PLTU Pacitan,PLTU,630.0,Jawa Timur,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,combustion,-8.260091,111.3741397,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,630.0,,PLTU,,Utility,,,,,,way/270788980,coal,OSM-overpass,
GEN-JMB-0038,GEN-JMB-0038,,PLTP Star Energy Darajat,PLTP,225.17,Jawa Barat,Jamali,existing,Utility,Star Energy Geothermal,,-7.2177854,107.7275125,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,225.17,,PLTP,,Utility,,,,,,way/271376029,geothermal,OSM-overpass,
GEN-JMB-0039,GEN-JMB-0039,,PLTA Panglima Besar Soedirman,PLTA,180.9,Jawa Tengah,Jamali,existing,Utility,,water-storage,-7.3952258,109.6054097,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,180.9,,PLTA,,Utility,,,,,,way/271991719,hydro,OSM-overpass,
GEN-JMB-0040,GEN-JMB-0040,,PLTA Ubrug,PLTA,18.36,Jawa Barat,Jamali,existing,Utility,Indonesia Power,,-6.9499858,106.7551839,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,18.36,,PLTA,,Utility,,,,,,way/280246818,hydro,OSM-overpass,
GEN-JMB-0041,GEN-JMB-0041,,PLTA Selorejo,PLTA,4.5,Jawa Timur,Jamali,existing,Utility,,water-storage,-7.8733171,112.3518016,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,4.5,,PLTA,,Utility,,,,,,way/284137273,hydro,OSM-overpass,
GEN-JMB-0042,GEN-JMB-0042,,PLTA Ketenger,PLTA,8.54,Jawa Tengah,Jamali,existing,Utility,Indonesia Power,,-7.333515,109.2199531,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,8.54,,PLTA,,Utility,,,,,,way/304324906,hydro,OSM-overpass,
GEN-JMB-0043,GEN-JMB-0043,,PLTU Rembang,PLTU,630.0,Jawa Tengah,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,combustion,-6.6346891,111.4743362,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,630.0,,PLTU,,Utility,,,,,,way/307271432,coal,OSM-overpass,
GEN-JMB-0044,GEN-JMB-0044,,Unit Pembangkit Listrik Paiton,PLTU,4608.0,Jawa Timur,Jamali,existing,Utility,PT PLN Nusantara Power,combustion,-7.7129411,113.5826364,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,4608.0,,PLTU,,Utility,,,,,,way/340912781,coal,OSM-overpass,
