id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag
RUPTL:RUPTL-KALIMANTAN-P-0001,,RUPTL-KALIMANTAN-P-0001,Kuala Mandor,PLTBm,5.0,Kalimantan Barat,,Construction,,,,-0.206777,111.573348,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,5.0,,PLTBm,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0002,,RUPTL-KALIMANTAN-P-0002,Kalbar-1,PLTGU,250.0,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,250.0,,PLTGU,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0003,,RUPTL-KALIMANTAN-P-0003,Kalbar-1 (PLTS+BESS),PLTS,80.0,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,80.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0004,,RUPTL-KALIMANTAN-P-0004,Kalbar-1 (PLTS+BESS),PLTS,50.0,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,50.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0005,,RUPTL-KALIMANTAN-P-0005,Kalbar-1 (PLTS+BESS),PLTS,40.0,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,40.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0006,,RUPTL-KALIMANTAN-P-0006,Kalbar-1 (PLTS+BESS),PLTS,25.0,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,25.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0007,,RUPTL-KALIMANTAN-P-0007,Setanggi,PLTM,5.0,Kalimantan Barat,,Committed,,,,-0.120648,111.296044,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,5.0,,PLTM,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0008,,RUPTL-KALIMANTAN-P-0008,Manajur,PLTM,5.0,Kalimantan Barat,,Committed,,,,-0.3778,111.699247,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,5.0,,PLTM,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0009,,RUPTL-KALIMANTAN-P-0009,Kalbar-2,PLTGU,100.0,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,100.0,,PLTGU,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0010,,RUPTL-KALIMANTAN-P-0010,Kalbar,PLTS,50.0,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,50.0,,PLTS,,,,,,,,,,
