id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag,override_applied,override_id,override_decision,override_by,override_date,override_reason
RUPTL:RUPTL-MALUKU-P-0001,,RUPTL-MALUKU-P-0001,Ambon 2,PLTMG,27.0,Maluku,,Construction,,,,-3.695943,128.178785,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,27.0,,PLTMG,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0002,,RUPTL-MALUKU-P-0002,MPP Sambelia,PLTMG,30.0,Maluku,,Committed,,,,-3.271829,129.574856,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,30.0,,PLTMG,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0003,,RUPTL-MALUKU-P-0003,Ambon (Kuota) Tersebar,PLTS,30.0,Maluku,,Planned,,,,-3.695943,128.178785,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,30.0,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0004,,RUPTL-MALUKU-P-0004,Ambon (Kuota) Tersebar,PLTS,10.0,Maluku,,Planned,,,,-3.695943,128.178785,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0005,,RUPTL-MALUKU-P-0005,Tulehu (FTP2),PLTP,12.0,Maluku,,Planned,,,,-3.587202,128.298899,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,12.0,,PLTP,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0006,,RUPTL-MALUKU-P-0006,Ambon (Kuota) Tersebar,PLTB,30.0,Maluku,,Planned,,,,-3.695943,128.178785,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,30.0,,PLTB,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0007,,RUPTL-MALUKU-P-0007,Ambon (Kuota) Tersebar,PLTS,10.0,Maluku,,Planned,,,,-3.695943,128.178785,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0008,,RUPTL-MALUKU-P-0008,Bula,PLTS,3.0,Maluku,,Planned,,,,-3.172914,130.414783,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,3.0,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0009,,RUPTL-MALUKU-P-0009,Bula,PLTMG,10.0,Maluku,,Committed,,,,-3.172914,130.414783,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTMG,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0010,,RUPTL-MALUKU-P-0010,Bula,PLTS,5.0,Maluku,,Planned,,,,-3.172914,130.414783,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,5.0,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0011,,RUPTL-MALUKU-P-0011,Namlea,PLTMG,10.0,Maluku,,Construction,,,,-3.21432,127.091457,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTMG,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0012,,RUPTL-MALUKU-P-0012,Namlea,PLTS,5.0,Maluku,,Planned,,,,-3.21432,127.091457,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,5.0,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0013,,RUPTL-MALUKU-P-0013,Namrole,PLTMG,10.0,Maluku,,Committed,,,,-3.834022,126.751061,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTMG,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0014,,RUPTL-MALUKU-P-0014,Buru (Kuota) Tersebar,PLTP,20.0,Maluku,,Planned,,,,-3.040912,129.561748,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,20.0,,PLTP,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0015,,RUPTL-MALUKU-P-0015,Namlea 2,PLTBm,10.0,Maluku,,Planned,,,,-3.21432,127.091457,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTBm,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0016,,RUPTL-MALUKU-P-0016,Wai Tina,PLTA,7.0,Maluku,,Planned,,,,-3.48361,126.866801,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,7.0,,PLTA,,,,,,,,,,,,,,,,
RUPTL:RUPTL-MALUKU-P-0017,,RUPTL-MALUKU-P-0017,Dobo,PLTMG,10.0,Maluku,,Construction,,,,-3.200422,129.579028,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTMG,,,,,,,,,,,,,,,,
