id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag
GEN-NTB-0007,GEN-NTB-0007,RUPTL-NTB-P-0001,PLTU Lombok Timur,PLTU,50.0,Nusa Tenggara Barat,NTB,existing,Utility,,,-8.4329047,116.7054789,CONFIRMED_MATCH,1.00,"coord 0.0 km ≤ 2.0, type=PLTU matches, capacity diff 4% ≤ 20%",ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,50.0,52.0,PLTU,PLTU,Utility,,false,false,,false,way/524519157,coal,OSM-overpass,
RUPTL:RUPTL-NTB-P-0002,,RUPTL-NTB-P-0002,Sedau Kumbi,PLTM,1.3,Nusa Tenggara Barat,,Construction,,,,-8.826555,117.321095,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1.3,,PLTM,,,,,,,,,,
GEN-NTB-0008,GEN-NTB-0008,RUPTL-NTB-P-0003,PLTU Sumbawa Barat,PLTU,14.0,Nusa Tenggara Barat,NTB,existing,Utility,Perusahaan Listrik Negara,,-8.7411446,116.777658,PROBABLE_MATCH,0.80,"token set sama, jarak=0.0 km",ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,14.0,30.0,PLTU,PLTMG,Utility,,true,true,,false,way/707043779,coal,OSM-overpass,
RUPTL:RUPTL-NTB-P-0004,,RUPTL-NTB-P-0004,Kokok Babak,PLTM,2.3,Nusa Tenggara Barat,,Planned,,,,-8.661444,117.402153,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,2.3,,PLTM,,,,,,,,,,
RUPTL:RUPTL-NTB-P-0006,,RUPTL-NTB-P-0006,Sumbawa-Bima (Kuota) Tersebar,PLTS,10.0,Nusa Tenggara Barat,,Planned,,,,-8.411003,118.699984,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTS,,,,,,,,,,
GEN-NTB-0007,GEN-NTB-0007,RUPTL-NTB-P-0011,PLTU Lombok Timur,PLTU,50.0,Nusa Tenggara Barat,NTB,existing,Utility,,,-8.4329047,116.7054789,PROBABLE_MATCH,0.80,"token set sama, jarak=0.0 km",ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,50.0,52.0,PLTU,PLTMG,Utility,,false,true,,false,way/524519157,coal,OSM-overpass,
GEN-NTB-0008,GEN-NTB-0008,RUPTL-NTB-P-0012,PLTU Sumbawa Barat,PLTU,14.0,Nusa Tenggara Barat,NTB,existing,Utility,Perusahaan Listrik Negara,,-8.7411446,116.777658,PROBABLE_MATCH,0.80,"token set sama, jarak=0.0 km",ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,14.0,50.0,PLTU,PLTMG,Utility,,true,true,,false,way/707043779,coal,OSM-overpass,
RUPTL:RUPTL-NTB-P-0013,,RUPTL-NTB-P-0013,Sumbawa-Bima (Kuota) Tersebar,PLTBm,10.0,Nusa Tenggara Barat,,Planned,,,,-8.411003,118.699984,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTBm,,,,,,,,,,
GEN-NTB-0007,GEN-NTB-0007,RUPTL-NTB-P-0014,PLTU Lombok Timur,PLTU,50.0,Nusa Tenggara Barat,NTB,existing,Utility,,,-8.4329047,116.7054789,PROBABLE_MATCH,0.80,"token set sama, jarak=0.0 km",ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,50.0,2.6,PLTU,PLTM,Utility,,true,true,,false,way/524519157,coal,OSM-overpass,
GEN-NTB-0007,GEN-NTB-0007,RUPTL-NTB-P-0015,PLTU Lombok Timur,PLTU,50.0,Nusa Tenggara Barat,NTB,existing,Utility,,,-8.4329047,116.7054789,PROBABLE_MATCH,0.80,"token set sama, jarak=0.0 km",ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,50.0,1.98,PLTU,PLTM,Utility,,true,true,,false,way/524519157,coal,OSM-overpass,
