id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag
RUPTL:RUPTL-PAPUA-P-0001,,RUPTL-PAPUA-P-0001,Biak 3,PLTMG,15.0,Papua Pegunungan,,Committed,,,,-4.143776,139.139202,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,15.0,,PLTMG,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0002,,RUPTL-PAPUA-P-0002,Biak (Kuota) Tersebar,PLTS,10.0,Papua Pegunungan,,Planned,,,,-4.310764,139.054179,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0003,,RUPTL-PAPUA-P-0003,Wabudori,PLTM,3.0,Papua,,Planned,,,,-4.266333,138.134782,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,3.0,,PLTM,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0006,,RUPTL-PAPUA-P-0006,Lisdes Papua pegunungan,PLTS,1.494,Papua,,Planned,,,,-4.268938,137.934094,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1.494,,PLTS,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0008,,RUPTL-PAPUA-P-0008,Lisdes Papua Selatan,PLTS,4.16,Papua,,Planned,,,,-4.267274,138.155807,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,4.16,,PLTS,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0012,,RUPTL-PAPUA-P-0012,Lisdes Papua Selatan,PLTS,1.076,Papua,,Planned,,,,-4.078024,138.018313,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1.076,,PLTS,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0013,,RUPTL-PAPUA-P-0013,Lisdes,PLTS,2.475,Papua,,Planned,,,,-4.152971,137.954824,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,2.475,,PLTS,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0014,,RUPTL-PAPUA-P-0014,Lisdes Papua pegunungan,PLTS,133.013,Papua,,Planned,,,,-4.130983,138.164681,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,133.013,,PLTS,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0015,,RUPTL-PAPUA-P-0015,Lisdes Papua Tengah,PLTS,44.488,Papua,,Planned,,,,-4.492926,138.056103,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,44.488,,PLTS,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0016,,RUPTL-PAPUA-P-0016,Lisdes Papua Selatan,PLTS,8.031,Papua,,Planned,,,,-4.476059,138.058433,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,8.031,,PLTS,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0017,,RUPTL-PAPUA-P-0017,Isolated Papua,PLTS,3.186,Papua,,Planned,,,,-4.12888,137.982757,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,3.186,,PLTS,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0018,,RUPTL-PAPUA-P-0018,Isolated Papua Selatan,PLTS,4.3248,Papua,,Planned,,,,-4.381592,138.209997,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,4.3248,,PLTS,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0019,,RUPTL-PAPUA-P-0019,Isolated Papua Tengah,PLTS,8.04,Papua,,Planned,,,,-4.092156,138.185644,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,8.04,,PLTS,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0021,,RUPTL-PAPUA-P-0021,Mamberamo Raya,PLTM,4.0,Papua,,Planned,,,,-4.435781,138.245697,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,4.0,,PLTM,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0022,,RUPTL-PAPUA-P-0022,Digoel,PLTM,3.0,Papua,,Planned,,,,-4.297029,137.898126,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,3.0,,PLTM,,,,,,,,,,
GEN-PAP-0011,GEN-PAP-0011,RUPTL-PAPUA-P-0023,PLTMG MPP Jayapura,PLTMG,50.0,Papua,Papua,existing,Utility,,combustion,-2.6169122,140.7891872,CONFIRMED_MATCH,1.00,"coord 0.2 km ≤ 2.0, type=PLTMG matches, capacity diff 0% ≤ 20%",ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,50.0,50.0,PLTMG,PLTMG,Utility,,false,false,,false,way/1191857160,gas,OSM-overpass,
GEN-PAP-0011,GEN-PAP-0011,RUPTL-PAPUA-P-0024,PLTMG MPP Jayapura,PLTMG,50.0,Papua,Papua,existing,Utility,,combustion,-2.6169122,140.7891872,CONFIRMED_MATCH,1.00,"coord 0.2 km ≤ 2.0, type=PLTMG matches, capacity diff 0% ≤ 20%",ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,50.0,50.0,PLTMG,PLTMG,Utility,,false,false,,false,way/1191857160,gas,OSM-overpass,
GEN-PAP-0006,GEN-PAP-0006,RUPTL-PAPUA-P-0025,PLTMG Jayapura,PLTMG,40.0,Papua,Papua,existing,Utility,,combustion,-2.6163241,140.7913037,PROBABLE_MATCH,0.80,"token set sama, jarak=0.0 km",ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,40.0,50.0,PLTMG,PLTS,Utility,,false,true,,false,way/894329107,gas,OSM-overpass,
GEN-PAP-0006,GEN-PAP-0006,RUPTL-PAPUA-P-0026,PLTMG Jayapura,PLTMG,40.0,Papua,Papua,existing,Utility,,combustion,-2.6163241,140.7913037,PROBABLE_MATCH,0.80,"token set sama, jarak=0.0 km",ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,40.0,50.0,PLTMG,PLTS,Utility,,false,true,,false,way/894329107,gas,OSM-overpass,
RUPTL:RUPTL-PAPUA-P-0027,,RUPTL-PAPUA-P-0027,Amai,PLTM,1.08,Papua,,Planned,,,,-4.284506,138.198257,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1.08,,PLTM,,,,,,,,,,
GEN-PAP-0011,GEN-PAP-0011,RUPTL-PAPUA-P-0028,PLTMG MPP Jayapura,PLTMG,50.0,Papua,Papua,existing,Utility,,combustion,-2.6169122,140.7891872,CONFIRMED_MATCH,1.00,"coord 0.2 km ≤ 2.0, type=PLTMG matches, capacity diff 0% ≤ 20%",ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,50.0,50.0,PLTMG,PLTMG,Utility,,false,false,,false,way/1191857160,gas,OSM-overpass,
RUPTL:RUPTL-PAPUA-P-0029,,RUPTL-PAPUA-P-0029,Merauke 4,PLTMG,10.0,Papua,,Planned,,,,-4.272285,138.228197,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTMG,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0030,,RUPTL-PAPUA-P-0030,Merauke (Kuota) Tersebar,PLTS,10.0,Papua,,Planned,,,,-4.203291,137.900216,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-PAPUA-P-0031,,RUPTL-PAPUA-P-0031,Merauke 3,PLTBM,10.0,Papua,,Planned,,,,-4.345747,138.226637,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTBM,,,,,,,,,,
