id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag,override_applied,override_id,override_decision,override_by,override_date,override_reason
RUPTL:RUPTL-SULAWESI-P-0001,,RUPTL-SULAWESI-P-0001,Sulbagut,PLTMG,50.0,Sulawesi Utara,,Planned,,,,0.491928,124.678243,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,50.0,,PLTMG,,,,,,,,,,,,,,,,
RUPTL:RUPTL-SULAWESI-P-0002,,RUPTL-SULAWESI-P-0002,Sulbagut (Kuota) Tersebar Tambahan,PLTM,20.0,Sulawesi Utara,,Planned,,,,0.842048,124.922624,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,20.0,,PLTM,,,,,,,,,,,,,,,,
RUPTL:RUPTL-SULAWESI-P-0003,,RUPTL-SULAWESI-P-0003,Sulbagut (Kuota) Tersebar Tambahan,PLTB,20.0,Sulawesi Utara,,Planned,,,,0.564132,124.688175,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,20.0,,PLTB,,,,,,,,,,,,,,,,
RUPTL:RUPTL-SULAWESI-P-0004,,RUPTL-SULAWESI-P-0004,Sulbagut (Kuota) Tersebar Tambahan,?,20.0,Sulawesi Utara,,Planned,,,,0.685158,124.930611,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,20.0,,?,,,,,,,,,,,,,,,,
RUPTL:RUPTL-SULAWESI-P-0005,,RUPTL-SULAWESI-P-0005,Dedieselisasi,PLTS,21.6,Sulawesi Tengah,,Planned,,,,-1.29975,120.730226,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,21.6,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-SULAWESI-P-0006,,RUPTL-SULAWESI-P-0006,Luwuk,PLTM,40.0,Sulawesi Tengah,,Construction,,,,-0.984518,122.775561,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,40.0,,PLTM,,,,,,,,,,,,,,,,
RUPTL:RUPTL-SULAWESI-P-0007,,RUPTL-SULAWESI-P-0007,Buleleng,PLTM,1.2,Sulawesi Tengah,,Construction,,,,-1.440083,120.601461,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1.2,,PLTM,,,,,,,,,,,,,,,,
RUPTL:RUPTL-SULAWESI-P-0008,,RUPTL-SULAWESI-P-0008,Halulai,PLTM,1.2,Sulawesi Tengah,,Planned,,,,-1.208191,120.557066,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1.2,,PLTM,,,,,,,,,,,,,,,,
RUPTL:RUPTL-SULAWESI-P-0009,,RUPTL-SULAWESI-P-0009,Sulbagsel (Kuota) Tersebar,PLTA,200.0,Sulawesi Tengah,,Planned,,,,-1.644798,120.537965,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,200.0,,PLTA,,,,,,,,,,,,,,,,
RUPTL:RUPTL-SULAWESI-P-0010,,RUPTL-SULAWESI-P-0010,Sulbagsel (Kuota) Tersebar Tambahan I,PLTA,100.0,Sulawesi Tengah,,Planned,,,,-1.538399,120.457444,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,100.0,,PLTA,,,,,,,,,,,,,,,,
