id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag
GEN-SMT-0113,GEN-SMT-0113,RUPTL-SUMATRA-P-0001,PLTA Peusangan 1,PLTA,45.0,Aceh,Sumatra,existing,Utility,,run-of-the-river,4.6020756,96.7427489,PROBABLE_MATCH,0.80,"token set sama, jarak=0.0 km",ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,45.0,88.0,PLTA,PLTA,Utility,,true,false,,false,way/1304188434,hydro,OSM-overpass,
RUPTL:RUPTL-SUMATRA-P-0002,,RUPTL-SUMATRA-P-0002,Tanjung Semanto,PLTBm,9.8,Aceh,,Construction,,,,4.578494,96.744362,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,9.8,,PLTBm,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0003,,RUPTL-SUMATRA-P-0003,Bayu Sumatera1),PLTB,55.0,Aceh,,Planned,,,,4.594399,96.567353,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,55.0,,PLTB,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0004,,RUPTL-SUMATRA-P-0004,Bayu Sumatera1),PLTB,55.0,Aceh,,Planned,,,,4.883278,96.935117,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,55.0,,PLTB,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0005,,RUPTL-SUMATRA-P-0005,Sumatera BESS-1#1,BESS,50.0,Aceh,,Planned,,,,4.86494,96.971821,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,50.0,,BESS,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0006,,RUPTL-SUMATRA-P-0006,Aceh Tamiang,PLTBg,3.0,Aceh,,Construction,,,,4.47171,96.892833,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,3.0,,PLTBg,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0007,,RUPTL-SUMATRA-P-0007,Langsa,PLTBm,10.0,Aceh,,Committed,,,,4.510911,97.943056,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTBm,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0008,,RUPTL-SUMATRA-P-0008,Sumatera(Kuota) Tersebar Sumbagut1),PLTM,14.4,Aceh,,Planned,,,,4.826676,96.794132,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,14.4,,PLTM,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0009,,RUPTL-SUMATRA-P-0009,Sumbagut / Banda Aceh3),PLTG,80.0,Aceh,,Planned,,,,4.767318,96.707335,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,80.0,,PLTG,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0010,,RUPTL-SUMATRA-P-0010,Sumatera(Kuota) Tersebar Sumbagut1),PLTM,10.0,Aceh,,Planned,,,,4.861902,96.731509,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTM,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0011,,RUPTL-SUMATRA-P-0011,Kumbih-3,PLTA,45.0,Aceh,,Committed,,,,4.906187,96.964171,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,45.0,,PLTA,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0012,,RUPTL-SUMATRA-P-0012,Sumatera (kuota) tersebar1),PLTA,400.0,Aceh,,Planned,,,,4.565957,96.780014,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,400.0,,PLTA,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0013,,RUPTL-SUMATRA-P-0013,Sumatera (Kuota) Tersebar1),PLTB,110.0,Aceh,,Planned,,,,4.700021,96.687753,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,110.0,,PLTB,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0014,,RUPTL-SUMATRA-P-0014,Sumbagut (Kuota) Tersebar1),PLTA,561.0,Aceh,,Planned,,,,5.214049,97.086976,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,561.0,,PLTA,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0015,,RUPTL-SUMATRA-P-0015,Sumbagut (kuota ISJ) tersebar2),PLTA,1450.0,Aceh,,Planned,,,,4.526855,96.823309,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1450.0,,PLTA,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0016,,RUPTL-SUMATRA-P-0016,PLTS BESS Sumatera 2,PLTS,302.0,Aceh,,Planned,,,,4.738168,96.971725,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,302.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0017,,RUPTL-SUMATRA-P-0017,PLTS BESS Sumatera 2,PLTS,200.0,Aceh,,Planned,,,,4.563758,96.867456,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,200.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0018,,RUPTL-SUMATRA-P-0018,Sumatera (Kuota) Tersebar1),PLTB,100.0,Aceh,,Planned,,,,4.705905,96.733612,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,100.0,,PLTB,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0020,,RUPTL-SUMATRA-P-0020,Jaboi (FTP2),PLTP,10.0,Aceh,,Committed,,,,4.730553,96.90128,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTP,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0021,,RUPTL-SUMATRA-P-0021,Sinabang (Kuota) Tersebar,PLTS,2.0,Aceh,,Planned,,,,4.614132,96.622566,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,2.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0022,,RUPTL-SUMATRA-P-0022,Sinabang (Kuota) Tersebar + BESS,PLTS,2.0,Aceh,,Planned,,,,4.54755,96.898159,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,2.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0023,,RUPTL-SUMATRA-P-0023,Simeulue (Kuota) Tersebar,?,3.0,Aceh,,Planned,,,,4.846031,96.811487,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,3.0,,?,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0024,,RUPTL-SUMATRA-P-0024,Dedieselisasi,PLTS,1.5,Aceh,,Planned,,,,4.553413,96.887884,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1.5,,PLTS,,,,,,,,,,
RUPTL:RUPTL-SUMATRA-P-0025,,RUPTL-SUMATRA-P-0025,Isolated Aceh Tersebar,PLTS,2.08,Aceh,,Planned,,,,4.555331,96.703177,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,2.08,,PLTS,,,,,,,,,,
