id,name,osm_name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id,capacity_unit,role,roleDescription,roleConfidence,roleReason
GEN-SLW-0001,PLTB Tolo,PLTB Tolo,PLTB,72.0,Sulawesi Selatan,Sulselrabar,existing,Perusahaan Listrik Negara,wind_turbine,-5.6292833,119.763657,relation/10694862,wind,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0003,PLTA Poso-2,PLTA Poso-2,PLTA,395.0,Sulawesi Tengah,Sulteng,existing,Poso Energy,run-of-the-river,-1.6453984,120.6516728,relation/19123845,hydro,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0004,PLTP Lahendong I & II,PLTP Lahendong I & II,PLTP,40.0,Sulawesi Utara,Sulutgo,existing,,,1.2545538,124.8221456,way/101264872,geothermal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0005,PLTU Tello,PLTU Tello,PLTU,120.0,Sulawesi Selatan,Sulselrabar,existing,,combustion,-5.1473815,119.4719989,way/109924603,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0006,PLTD Bau-Bau,PLTD Bau-bau,PLTD,8.0,Sulawesi Tenggara,Sulselrabar,existing,PLN,,-5.4578141,122.5984835,way/165616503,,NO_CAPACITY,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0007,Bili Bili Bendungan,Bili Bili Bendungan,PLTA,19.25,Sulawesi Selatan,Sulselrabar,existing,,,-5.2808747,119.5830648,way/181495712,hydro,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0009,PLTU PT Semen Tonasa Indonesia,PLTU PT Semen Tonasa Indonesia,PLTU,120.0,Sulawesi Selatan,Sulselrabar,existing,,combustion,-4.8162214,119.5011209,way/244815714,coal,NO_CAPACITY,OSM-overpass,MW,Captive,Memasok listrik untuk kebutuhan industri atau pelanggan khusus.,High,Nama/operator menunjukkan pabrik semen
GEN-SLW-0010,PLTA Bakaru,,PLTA,126.0,Sulawesi Selatan,Sulselrabar,existing,,,-3.4798128,119.6515739,way/257613250,hydro,NO_NAME,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0018,PLTGU Sengkang,PLTGU Sengkang,PLTGU,180.0,Sulawesi Selatan,Sulselrabar,existing,,combustion,-4.1761207,120.0725884,way/367586568,gas,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0020,PLTU Barru,PLTU Barru,PLTU,100.0,Sulawesi Selatan,Sulselrabar,existing,Indonesia Power,combustion,-4.2940266,119.6297586,way/399714487,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
