id,name,osm_name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id
GEN-SMT-0001,PLTU Indah Kiat Perawang,Perawang Mill Coal Power Plant,PLTU,,Riau,Sumatra,existing,,combustion,0.6895688,101.6188519,relation/12405779,coal,NO_CAPACITY,OSM-overpass
GEN-SMT-0002,PLTGU Keramasan,PLTGU Keramasan,PLTGU,80.0,Sumatera Selatan,Sumatra,existing,,,-3.0316148,104.7449351,relation/14127028,gas,,OSM-overpass
GEN-SMT-0003,(unnamed),,Unknown,,Aceh,Sumatra,existing,,,4.1080821,96.1994004,relation/17940643,,NO_NAME;NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-SMT-0004,PLTP Rantau Dedap,PLTP Rantau Dedap,PLTP,91.0,Sumatera Selatan,Sumatra,existing,,,-4.2225041,103.3825072,relation/19387721,geothermal,,OSM-overpass
GEN-SMT-0005,PLTD Koba,PLTD Koba,PLTD,5.0,Kepulauan Bangka Belitung,Babel,existing,,,-2.4999692,106.4013528,way/186109191,diesel,,OSM-overpass
GEN-SMT-0006,Lau Renun hydro,Lau Renun hydro,PLTA,82.0,Sumatera Utara,Sumatra,existing,PT. PLN,,2.7865021,98.5405475,way/238272778,hydro,,OSM-overpass
GEN-SMT-0007,PLTU Tanjung Balai Karimun,PLTU Tanjung Balai Karimun,PLTU,14.0,Kepulauan Riau,Batam,existing,,combustion,1.0419781,103.4202689,way/254334992,coal,,OSM-overpass
GEN-SMT-0008,PLTGU Belawan,PLTGU Belawan,PLTGU,720.0,Sumatera Utara,Sumatra,existing,,,3.7724229,98.668286,way/277183762,gas,,OSM-overpass
GEN-SMT-0009,KANTOR,KANTOR,Unknown,,Aceh,Sumatra,existing,PLN,,3.8244057,96.7596275,way/284166407,,NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-SMT-0010,PLTU Nagan Raya,PLTU Nagan Raya,PLTU,200.0,Aceh,Sumatra,existing,Perusahaan Listrik Negara,combustion,4.1054362,96.1977401,way/321541350,coal,,OSM-overpass
GEN-SMT-0011,PLTU Labuhan Angin,PLTU Labuhan Angin,PLTU,230.0,Sumatera Utara,Sumatra,existing,,combustion,1.7516492,98.7310234,way/329719280,coal,,OSM-overpass
