id,name,type,capacity_mw,province,region_key,status,target_cod_year,cod_re_base,cod_ared,developer,source_table,source_page
RUPTL-JAMALI-P-0001,Sunter Jawa-Bali (Kuota),PLTSA,35.0,Dki Jakarta,jamali,Planned,2028,2028 2029,2028 2029,IPP,Tabel B1.9,818
RUPTL-JAMALI-P-0002,Tersebar,PLTSA,150.0,Dki Jakarta,jamali,Planned,,,,IPP,Tabel B1.9,818
RUPTL-JAMALI-P-0003,Jawa-9,PLTU,1000.0,Banten,jamali,Construction,2025,2025,2025,IPP,Tabel B2.11,830
RUPTL-JAMALI-P-0004,Jawa-10,PLTU,1000.0,Banten,jamali,Construction,2025,2025,2025,IPP,Tabel B2.11,830
RUPTL-JAMALI-P-0005,Cikotok,PLTM,4.2,Banten,jamali,Construction,2026,2026,2026,IPP,Tabel B2.11,830
RUPTL-JAMALI-P-0006,Banten (Kuota) II,PLTS,50.0,Banten,jamali,Planned,2026,2026,2026,IPP,Tabel B2.11,830
RUPTL-JAMALI-P-0007,Cikamunding,PLTM,6.0,Banten,jamali,Planned,2027,2027,2027,IPP,Tabel B2.11,830
RUPTL-JAMALI-P-0008,Nagajaya,PLTM,6.0,Banten,jamali,Planned,2027,2027,2027,IPP,Tabel B2.11,830
RUPTL-JAMALI-P-0009,Bulakan,PLTM,3.0,Banten,jamali,Planned,2027,2027,2027,IPP,Tabel B2.11,830
RUPTL-JAMALI-P-0010,Jawa-Bali (Kuota) Tersebar,PLTM,4.4,Banten,jamali,Planned,2027,2027,2027,IPP,Tabel B2.11,830
RUPTL-JAMALI-P-0011,Banten (Kuota) Tersebar 1,PLTSA,40.0,Banten,jamali,Planned,2028,2028,2028,IPP,Tabel B2.11,830
RUPTL-JAMALI-P-0012,Banten (Kuota) IVA,PLTS,50.0,Banten,jamali,Planned,2028,2028,2028,IPP,Tabel B2.11,830
RUPTL-JAMALI-P-0013,Banten (Kuota) VI,PLTS,40.0,Banten,jamali,Planned,2028,2028,2028,IPP,Tabel B2.11,830
RUPTL-JAMALI-P-0014,Cibareno 1,PLTM,5.0,Banten,jamali,Planned,2028,2028,2028,IPP,Tabel B2.11,830
RUPTL-JAMALI-P-0015,Jawa-Bali (Kuota) Tersebar,PLTM,6.0,Banten,jamali,Planned,2028,2028,2028,IPP,Tabel B2.11,830
