id,name,type,capacity_mw,province,region_key,status,target_cod_year,cod_re_base,cod_ared,developer,source_table,source_page,lat,lon,coord_source,coord_confidence
RUPTL-KALIMANTAN-P-0001,Kuala Mandor,PLTBm,5.0,Kalimantan Barat,kalimantan,Construction,2025,2025,,IPP,Tabel A11.11,735,-0.206777,111.573348,province_centroid,low
RUPTL-KALIMANTAN-P-0002,Kalbar-1,PLTGU,250.0,Kalimantan Barat,kalimantan,Planned,2026,2026,,SH-PLN,Tabel A11.11,735,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0003,Kalbar-1 (PLTS+BESS),PLTS,80.0,Kalimantan Barat,kalimantan,Planned,,,,IPP,Tabel A11.11,735,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0004,Kalbar-1 (PLTS+BESS),PLTS,50.0,Kalimantan Barat,kalimantan,Planned,,,,IPP,Tabel A11.11,735,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0005,Kalbar-1 (PLTS+BESS),PLTS,40.0,Kalimantan Barat,kalimantan,Planned,,,,IPP,Tabel A11.11,735,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0006,Kalbar-1 (PLTS+BESS),PLTS,25.0,Kalimantan Barat,kalimantan,Planned,,,,IPP,Tabel A11.11,735,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0007,Setanggi,PLTM,5.0,Kalimantan Barat,kalimantan,Committed,2027,2027,,IPP,Tabel A11.11,735,-0.120648,111.296044,province_centroid,low
RUPTL-KALIMANTAN-P-0008,Manajur,PLTM,5.0,Kalimantan Barat,kalimantan,Committed,2027,2027,,IPP,Tabel A11.11,735,-0.377800,111.699247,province_centroid,low
RUPTL-KALIMANTAN-P-0009,Kalbar-2,PLTGU,100.0,Kalimantan Barat,kalimantan,Planned,2027,2027,,IPP,Tabel A11.11,735,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0010,Kalbar,PLTS,50.0,Kalimantan Barat,kalimantan,Planned,2028,2028,,SH-PLN,Tabel A11.11,735,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0011,Khatulistiwa (Kuota) Tersebar,PLTM,16.0,Kalimantan Barat,kalimantan,Planned,2028,2028,,IPP,Tabel A11.11,735,-0.192914,111.256536,province_centroid,low
RUPTL-KALIMANTAN-P-0012,Kalimantan (Kuota) Tersebar,?,7.5,Kalimantan Barat,kalimantan,Planned,2029,2029,,IPP,Tabel A11.11,735,-0.223267,111.634906,province_centroid,low
RUPTL-KALIMANTAN-P-0013,Kalbar,PLTM,2.0,Kalimantan Barat,kalimantan,Planned,2029,2029,,PLN,Tabel A11.11,735,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0014,Kalbar-2 (PLTS+BESS),PLTS,80.0,Kalimantan Barat,kalimantan,Planned,,,,IPP,Tabel A11.11,735,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0015,Kalbar-2 (PLTS+BESS),PLTS,50.0,Kalimantan Barat,kalimantan,Planned,,,,IPP,Tabel A11.11,735,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0016,Kalbar-3,PLTMG,50.0,Kalimantan Barat,kalimantan,Planned,2029,2029,,IPP,Tabel A11.11,735,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0017,Kalimantan (Kuota) Tersebar,?,17.0,Kalimantan Barat,kalimantan,Planned,2030,2030,,IPP,Tabel A11.11,735,-0.082357,111.542013,province_centroid,low
RUPTL-KALIMANTAN-P-0018,Kalbar-2 (PLTS+BESS),PLTS,160.0,Kalimantan Barat,kalimantan,Planned,,,,IPP,Tabel A11.11,735,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0019,Kalbar-2 (PLTS+BESS),PLTS,100.0,Kalimantan Barat,kalimantan,Planned,,,,IPP,Tabel A11.11,735,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0020,Parit Baru (FTP1),PLTU,50.0,Kalimantan Barat,kalimantan,Construction,2030,2030,,PLN,Tabel A11.11,735,0.058676,109.203259,gazetteer_generator:GEN-KLM-0022,high
RUPTL-KALIMANTAN-P-0021,Parit Baru (FTP1),PLTU,50.0,Kalimantan Barat,kalimantan,Construction,2030,2030,,PLN,Tabel A11.11,735,0.058676,109.203259,gazetteer_generator:GEN-KLM-0022,high
RUPTL-KALIMANTAN-P-0022,Pantai Kura- Kura (FTP1),PLTU,27.5,Kalimantan Barat,kalimantan,Construction,2030,2030,,PLN,Tabel A11.11,735,-0.075339,111.285603,province_centroid,low
RUPTL-KALIMANTAN-P-0023,Pantai Kura- Kura (FTP1),PLTU,27.5,Kalimantan Barat,kalimantan,Construction,2030,2030,,PLN,Tabel A11.11,735,-0.413321,111.572303,province_centroid,low
RUPTL-KALIMANTAN-P-0024,Khatulistiwa (Kuota) Tersebar,PLTA,150.0,Kalimantan Barat,kalimantan,Planned,2030,2030,,IPP,Tabel A11.11,735,-0.361764,111.592167,province_centroid,low
RUPTL-KALIMANTAN-P-0025,Kalimantan (Kuota) Tersebar,?,10.0,Kalimantan Barat,kalimantan,Planned,2031,2031,,IPP,Tabel A11.11,735,-0.441948,111.329853,province_centroid,low
RUPTL-KALIMANTAN-P-0026,Kalimantan (Kuota) Tersebar,?,4.0,Kalimantan Barat,kalimantan,Planned,2031,2031,,IPP,Tabel A11.11,735,-0.193519,111.558777,province_centroid,low
RUPTL-KALIMANTAN-P-0027,Khatulistiwa (Kuota) Tersebar,PLTA,100.0,Kalimantan Barat,kalimantan,Planned,2032,2032,,IPP,Tabel A11.11,735,-0.119617,111.439194,province_centroid,low
RUPTL-KALIMANTAN-P-0028,Kalimantan (Kuota) Tersebar,?,16.0,Kalimantan Barat,kalimantan,Planned,2032,2032,,IPP,Tabel A11.11,735,-0.497746,111.562041,province_centroid,low
RUPTL-KALIMANTAN-P-0029,Kalimantan (Kuota) Tersebar,?,5.0,Kalimantan Barat,kalimantan,Planned,2033,2033,,IPP,Tabel A11.11,735,-0.118022,111.336981,province_centroid,low
RUPTL-KALIMANTAN-P-0030,Kalimantan (Kuota) Tersebar,?,1.2,Kalimantan Barat,kalimantan,Planned,2033,2033,,IPP,Tabel A11.11,735,-0.438580,111.423097,province_centroid,low
RUPTL-KALIMANTAN-P-0031,PLTN Kalimantan (Kuota) tersebar New EBT*),PLTN,250.0,Kalimantan Barat,kalimantan,Planned,,,,IPP,,736,-0.475855,111.654783,province_centroid,low
RUPTL-KALIMANTAN-P-0032,Khatulistiwa (Kuota) Tersebar,PLTA,100.0,Kalimantan Barat,kalimantan,Planned,2033,2033,,IPP,,736,-0.393979,111.660880,province_centroid,low
RUPTL-KALIMANTAN-P-0033,Khatulistiwa (Kuota) Tersebar,PLTA,100.0,Kalimantan Barat,kalimantan,Planned,2034,2034,,IPP,,736,-0.399238,111.519221,province_centroid,low
