id,name,type,capacity_mw,province,region_key,status,target_cod_year,cod_re_base,cod_ared,developer,source_table,source_page,lat,lon,coord_source,coord_confidence
RUPTL-MALUKU-P-0001,Ambon 2,PLTMG,27.0,Maluku,maluku,Construction,2025,2025,,SH-PLN,Tabel C7.14,1076,-3.442170,129.251239,province_centroid,low
RUPTL-MALUKU-P-0002,MPP Sambelia,PLTMG,30.0,Maluku,maluku,Committed,2026,2026,,SH-PLN,Tabel C7.14,1076,-3.271829,129.574856,province_centroid,low
RUPTL-MALUKU-P-0003,Ambon (Kuota) Tersebar,PLTS,30.0,Maluku,maluku,Planned,2027,2027,,IPP,Tabel C7.14,1076,-3.041703,129.504391,province_centroid,low
RUPTL-MALUKU-P-0004,Ambon (Kuota) Tersebar,PLTS,10.0,Maluku,maluku,Planned,2029,2029,,IPP,,1077,-3.235737,129.243238,province_centroid,low
RUPTL-MALUKU-P-0005,Tulehu (FTP2),PLTP,12.0,Maluku,maluku,Planned,2031,2031,,SH-PLN,,1077,-3.259560,129.553239,province_centroid,low
RUPTL-MALUKU-P-0006,Ambon (Kuota) Tersebar,PLTB,30.0,Maluku,maluku,Planned,2031,2031,,IPP,,1077,-3.383362,129.344063,province_centroid,low
RUPTL-MALUKU-P-0007,Ambon (Kuota) Tersebar,PLTS,10.0,Maluku,maluku,Planned,2033,2033,,IPP,,1077,-3.223076,129.469117,province_centroid,low
RUPTL-MALUKU-P-0008,Bula,PLTS,3.0,Maluku,maluku,Planned,2026,2026,,IPP,,1077,-3.028314,129.443933,province_centroid,low
RUPTL-MALUKU-P-0009,Bula,PLTMG,10.0,Maluku,maluku,Committed,2027,2027,,SH-PLN,,1077,-3.124911,129.653549,province_centroid,low
RUPTL-MALUKU-P-0010,Bula,PLTS,5.0,Maluku,maluku,Planned,2030,2030,,SH-PLN,,1077,-3.354219,129.593634,province_centroid,low
RUPTL-MALUKU-P-0011,Namlea,PLTMG,10.0,Maluku,maluku,Construction,2025,2025,,PLN,,1077,-3.214320,127.091457,gazetteer_substation:GI-MLK-0006,medium
RUPTL-MALUKU-P-0012,Namlea,PLTS,5.0,Maluku,maluku,Planned,2025,2025,,IPP,,1077,-3.214320,127.091457,gazetteer_substation:GI-MLK-0006,medium
RUPTL-MALUKU-P-0013,Namrole,PLTMG,10.0,Maluku,maluku,Committed,2026,2026,,SH-PLN,,1077,-3.834022,126.751061,gazetteer_substation:GI-MLK-0007,medium
RUPTL-MALUKU-P-0014,Buru (Kuota) Tersebar,PLTP,20.0,Maluku,maluku,Planned,2028,2028,,IPP,,1077,-3.040912,129.561748,province_centroid,low
RUPTL-MALUKU-P-0015,Namlea 2,PLTBM,10.0,Maluku,maluku,Planned,2029,2029,,IPP,,1077,-3.214320,127.091457,gazetteer_substation:GI-MLK-0006,medium
RUPTL-MALUKU-P-0016,Wai Tina,PLTA,7.0,Maluku,maluku,Planned,2030,2030,,IPP,,1077,-3.251518,129.463288,province_centroid,low
RUPTL-MALUKU-P-0017,Dobo,PLTMG,10.0,Maluku,maluku,Construction,2025,2025,,PLN,,1077,-3.200422,129.579028,province_centroid,low
RUPTL-MALUKU-P-0018,Dobo 2,PLTBM,5.0,Maluku,maluku,Planned,2029,2029,,IPP,,1077,-3.106876,129.343321,province_centroid,low
RUPTL-MALUKU-P-0019,Dobo 2,PLTBM,5.0,Maluku,maluku,Planned,2029,2029,,IPP,,1077,-3.046061,129.304727,province_centroid,low
RUPTL-MALUKU-P-0020,Lisdes,PLTS,7.71,Maluku,maluku,Planned,2025,2025,,PLN,,1077,-3.416767,129.247940,province_centroid,low
RUPTL-MALUKU-P-0021,Lisdes,PLTS,1.35,Maluku,maluku,Planned,2026,2026,,PLN,,1077,-3.162089,129.457109,province_centroid,low
RUPTL-MALUKU-P-0022,Lisdes,PLTS,18.23,Maluku,maluku,Planned,2027,2027,,PLN,,1077,-3.127145,129.595985,province_centroid,low
RUPTL-MALUKU-P-0023,Dedieselisasi,PLTS,18.08,Maluku,maluku,Planned,2027,2027,,IPP,,1077,-3.220437,129.248345,province_centroid,low
RUPTL-MALUKU-P-0024,Masela,PLTMG,20.0,Maluku,maluku,Planned,2027,2027,,SH-PLN,,1077,-3.245662,129.483496,province_centroid,low
RUPTL-MALUKU-P-0025,Wetar,PLTMG,20.0,Maluku,maluku,Planned,2027,2027,,SH-PLN,,1077,-3.065546,129.291881,province_centroid,low
RUPTL-MALUKU-P-0026,Isolated Maluku,PLTS,10.797,Maluku,maluku,Planned,2028,2028,,IPP,,1077,-3.051793,129.356085,province_centroid,low
RUPTL-MALUKU-P-0027,Saparua 2,PLTS,5.0,Maluku,maluku,Planned,2027,2027,,PLN,,1077,-3.089603,129.452078,province_centroid,low
RUPTL-MALUKU-P-0028,Saumlaki,PLTMG,10.0,Maluku,maluku,Construction,2025,2025,,PLN,,1077,-3.188785,129.469797,province_centroid,low
RUPTL-MALUKU-P-0029,Saumlaki 2,PLTBM,10.0,Maluku,maluku,Planned,2029,2029,,IPP,,1077,-3.201460,129.581379,province_centroid,low
RUPTL-MALUKU-P-0030,Seram 2,PLTMG,20.0,Maluku,maluku,Committed,2026,2026,,SH-PLN,,1077,-3.306249,128.946325,gazetteer_generator:GEN-MLK-0005,high
