id,name,type,capacity_mw,province,region_key,status,target_cod_year,cod_re_base,cod_ared,developer,source_table,source_page,lat,lon,coord_source,coord_confidence
RUPTL-PAPUA-P-0001,Biak 3,PLTMG,15.0,Papua Pegunungan,papua,Committed,2026,2026,,SH-PLN,Tabel C9.10,1120,-4.143776,139.139202,province_centroid,low
RUPTL-PAPUA-P-0002,Biak (Kuota) Tersebar,PLTS,10.0,Papua Pegunungan,papua,Planned,2028,2028,,IPP,Tabel C9.10,1120,-4.310764,139.054179,province_centroid,low
RUPTL-PAPUA-P-0003,Wabudori,PLTM,3.0,Papua,papua,Planned,2029,2029,,PLN,,1121,-4.266333,138.134782,province_centroid,low
RUPTL-PAPUA-P-0004,Lisdes,PLTS,0.213,Papua,papua,Planned,2025,2025,,PLN,,1121,-4.227388,138.014856,province_centroid,low
RUPTL-PAPUA-P-0005,Lisdes,PLTS,0.25,Papua,papua,Planned,2025,2025,,PLN,,1121,-4.292589,138.045800,province_centroid,low
RUPTL-PAPUA-P-0006,Lisdes Papua pegunungan,PLTS,1.494,Papua,papua,Planned,2025,2025,,PLN,,1121,-4.268938,137.934094,province_centroid,low
RUPTL-PAPUA-P-0007,Lisdes Papua Tengah,PLTS,0.936,Papua,papua,Planned,2025,2025,,PLN,,1121,-4.300514,138.231029,province_centroid,low
RUPTL-PAPUA-P-0008,Lisdes Papua Selatan,PLTS,4.16,Papua,papua,Planned,2025,2025,,PLN,,1121,-4.267274,138.155807,province_centroid,low
RUPTL-PAPUA-P-0009,Lisdes,PLTS,0.705,Papua,papua,Planned,2026,2026,,PLN,,1121,-4.210198,138.217997,province_centroid,low
RUPTL-PAPUA-P-0010,Lisdes Papua pegunungan,PLTS,0.43,Papua,papua,Planned,2026,2026,,PLN,,1121,-4.354621,138.254976,province_centroid,low
RUPTL-PAPUA-P-0011,Lisdes Papua Tengah,PLTS,0.402,Papua,papua,Planned,2026,2026,,PLN,,1121,-4.292225,138.096202,province_centroid,low
RUPTL-PAPUA-P-0012,Lisdes Papua Selatan,PLTS,1.076,Papua,papua,Planned,2026,2026,,PLN,,1121,-4.078024,138.018313,province_centroid,low
RUPTL-PAPUA-P-0013,Lisdes,PLTS,2.475,Papua,papua,Planned,2027,2027,,PLN,,1121,-4.152971,137.954824,province_centroid,low
RUPTL-PAPUA-P-0014,Lisdes Papua pegunungan,PLTS,133.013,Papua,papua,Planned,2027,2027,,PLN,,1121,-4.130983,138.164681,province_centroid,low
RUPTL-PAPUA-P-0015,Lisdes Papua Tengah,PLTS,44.488,Papua,papua,Planned,2027,2027,,PLN,,1121,-4.492926,138.056103,province_centroid,low
RUPTL-PAPUA-P-0016,Lisdes Papua Selatan,PLTS,8.031,Papua,papua,Planned,2027,2027,,PLN,,1121,-4.476059,138.058433,province_centroid,low
RUPTL-PAPUA-P-0017,Isolated Papua,PLTS,3.186,Papua,papua,Planned,2028,2028,,IPP,,1121,-4.128880,137.982757,province_centroid,low
RUPTL-PAPUA-P-0018,Isolated Papua Selatan,PLTS,4.3248,Papua,papua,Planned,2028,2028,,IPP,,1121,-4.381592,138.209997,province_centroid,low
RUPTL-PAPUA-P-0019,Isolated Papua Tengah,PLTS,8.04,Papua,papua,Planned,2028,2028,,IPP,,1121,-4.092156,138.185644,province_centroid,low
RUPTL-PAPUA-P-0020,Isolated Papua Pegunungan,PLTS,0.62,Papua,papua,Planned,2028,2028,,IPP,,1121,-4.241561,138.141298,province_centroid,low
RUPTL-PAPUA-P-0021,Mamberamo Raya,PLTM,4.0,Papua,papua,Planned,2029,2029,,PLN,,1121,-4.435781,138.245697,province_centroid,low
RUPTL-PAPUA-P-0022,Digoel,PLTM,3.0,Papua,papua,Planned,2029,2029,,PLN,,1121,-4.297029,137.898126,province_centroid,low
RUPTL-PAPUA-P-0023,Jayapura,PLTMG,50.0,Papua,papua,Committed,2026,2026,,PLN,,1121,-2.616324,140.791304,gazetteer_generator:GEN-PAP-0006,high
RUPTL-PAPUA-P-0024,Jayapura 2,PLTMG,50.0,Papua,papua,Planned,2027,2027,,SH-PLN,,1121,-2.616324,140.791304,gazetteer_generator:GEN-PAP-0006,high
RUPTL-PAPUA-P-0025,Jayapura (Kuota) Tersebar,PLTS,50.0,Papua,papua,Planned,2028,2028,,IPP,,1121,-2.616324,140.791304,gazetteer_generator:GEN-PAP-0006,high
RUPTL-PAPUA-P-0026,Jayapura (Kuota) Tersebar,PLTS,50.0,Papua,papua,Planned,2030,2030,,IPP,,1121,-2.616324,140.791304,gazetteer_generator:GEN-PAP-0006,high
