id,name,type,capacity_mw,province,region_key,status,target_cod_year,cod_re_base,cod_ared,developer,source_table,source_page,lat,lon,coord_source,coord_confidence
RUPTL-SULAWESI-P-0001,Sulbagut,PLTMG,50.0,Sulawesi Utara,sulawesi,Planned,2027,2027,,SH-PLN,Tabel C1.9,958,0.491928,124.678243,province_centroid,low
RUPTL-SULAWESI-P-0002,Sulbagut (Kuota) Tersebar Tambahan,PLTM,20.0,Sulawesi Utara,sulawesi,Planned,2028,2028,,IPP,Tabel C1.9,958,0.842048,124.922624,province_centroid,low
RUPTL-SULAWESI-P-0003,Sulbagut (Kuota) Tersebar Tambahan,PLTB,20.0,Sulawesi Utara,sulawesi,Planned,2029,2029,,IPP,Tabel C1.9,958,0.564132,124.688175,province_centroid,low
RUPTL-SULAWESI-P-0004,Sulbagut (Kuota) Tersebar Tambahan,?,20.0,Sulawesi Utara,sulawesi,Planned,,,,IPP,Tabel C1.9,958,0.685158,124.930611,province_centroid,low
RUPTL-SULAWESI-P-0005,Dedieselisasi,PLTS,21.6,Sulawesi Tengah,sulawesi,Planned,2027,2027,,IPP,Tabel C2.15,980,-1.299750,120.730226,province_centroid,low
RUPTL-SULAWESI-P-0006,Luwuk,PLTM,40.0,Sulawesi Tengah,sulawesi,Construction,2025,2025,,PLN,Tabel C2.15,980,-0.984518,122.775561,gazetteer_substation:GI-SLW-0032,medium
RUPTL-SULAWESI-P-0007,Buleleng,PLTM,1.2,Sulawesi Tengah,sulawesi,Construction,2026,2026,,PLN,Tabel C2.15,980,-1.440083,120.601461,province_centroid,low
RUPTL-SULAWESI-P-0008,Halulai,PLTM,1.2,Sulawesi Tengah,sulawesi,Planned,2028,2028,,PLN,Tabel C2.15,980,-1.208191,120.557066,province_centroid,low
RUPTL-SULAWESI-P-0009,Sulbagsel (Kuota) Tersebar,PLTA,200.0,Sulawesi Tengah,sulawesi,Planned,2030,2030,,IPP,Tabel C2.15,980,-1.644798,120.537965,province_centroid,low
RUPTL-SULAWESI-P-0010,Sulbagsel (Kuota) Tersebar Tambahan I,PLTA,100.0,Sulawesi Tengah,sulawesi,Planned,2030,2030,,IPP,Tabel C2.15,980,-1.538399,120.457444,province_centroid,low
RUPTL-SULAWESI-P-0011,Sulbagsel (Kuota) Tersebar Tambahan I,PLTA,200.0,Sulawesi Tengah,sulawesi,Planned,2031,2031,,IPP,,981,-1.439781,120.794004,province_centroid,low
RUPTL-SULAWESI-P-0012,Sulbagsel (Kuota) Tersebar Tambahan I,PLTA,200.0,Sulawesi Tengah,sulawesi,Planned,2032,2032,,IPP,,981,-1.423821,120.772222,province_centroid,low
RUPTL-SULAWESI-P-0013,Sulbagsel (Kuota) Tersebar Tambahan I,PLTA,300.0,Sulawesi Tengah,sulawesi,Planned,2033,2033,,IPP,,981,-1.383536,120.731257,province_centroid,low
RUPTL-SULAWESI-P-0014,Sulbagsel (Kuota) Tersebar Tambahan I,PLTA,300.0,Sulawesi Tengah,sulawesi,Planned,2034,2034,,IPP,,981,-1.606260,120.597097,province_centroid,low
RUPTL-SULAWESI-P-0015,Bone Bolango,PLTM,9.9,Gorontalo,sulawesi,Construction,2026,2026,,IPP,Tabel C3.9,996,0.884250,122.257237,province_centroid,low
RUPTL-SULAWESI-P-0016,Iya,PLTM,2.0,Gorontalo,sulawesi,Construction,2027,2027,,IPP,Tabel C3.9,996,0.916561,122.669595,province_centroid,low
RUPTL-SULAWESI-P-0017,Sulbagsel 2,PLTGU,300.0,Sulawesi Selatan,sulawesi,Planned,2027,2027,,IPP,Tabel C4.9,1009,-3.735684,120.064735,province_centroid,low
RUPTL-SULAWESI-P-0018,Sulbagsel (Kuota) Tersebar Tambahan,PLTM,100.0,Sulawesi Selatan,sulawesi,Planned,2029,2029,,IPP,Tabel C4.9,1009,-3.495833,120.138451,province_centroid,low
RUPTL-SULAWESI-P-0019,Sulbagsel (Kuota) Tersebar Tambahan,PLTM,100.0,Sulawesi Selatan,sulawesi,Planned,2030,2030,,IPP,Tabel C4.9,1009,-3.461157,120.097844,province_centroid,low
RUPTL-SULAWESI-P-0020,Sulbagsel (Kuota) Tersebar Tambahan II,PLTA,800.0,Sulawesi Selatan,sulawesi,Planned,2031,2031,,IPP,Tabel C4.9,1009,-3.748297,119.867945,province_centroid,low
RUPTL-SULAWESI-P-0021,Sulbagsel (Kuota) Tersebar Tambahan II,PLTA,600.0,Sulawesi Selatan,sulawesi,Planned,2032,2032,,IPP,Tabel C4.11,1010,-3.660806,120.056858,province_centroid,low
RUPTL-SULAWESI-P-0022,Sulbagsel (Kuota) Tersebar Tambahan II,PLTA,400.0,Sulawesi Selatan,sulawesi,Planned,,,,IPP,Tabel C4.11,1010,-3.500898,119.790709,province_centroid,low
RUPTL-SULAWESI-P-0023,Sulbagsel (Kuota) Tersebar Tambahan,PLTB,200.0,Sulawesi Selatan,sulawesi,Planned,,,,IPP,Tabel C4.11,1010,-3.875302,119.890462,province_centroid,low
RUPTL-SULAWESI-P-0024,Sulbagsel (Kuota) Tersebar Tambahan,PLTB,200.0,Sulawesi Selatan,sulawesi,Planned,,,,IPP,Tabel C4.11,1010,-3.602177,119.917845,province_centroid,low
RUPTL-SULAWESI-P-0025,Sulbagsel (Kuota) Tersebar Tambahan,PLTB,200.0,Sulawesi Selatan,sulawesi,Planned,,,,IPP,Tabel C4.11,1010,-3.837609,120.183801,province_centroid,low
