id,name,type,capacity_mw,province,region_key,status,target_cod_year,cod_re_base,cod_ared,developer,source_table,source_page,lat,lon,coord_source,coord_confidence,reference_ruptl_id,reference_source_url
RUPTL-SUMATRA-P-0001,Peusangan 1- 2,PLTA,88.0,Aceh,sumatra,Construction,2025,2025 2025,,PLN,Tabel A1.11,607,4.602076,96.742749,gazetteer_generator:GEN-SMT-0113,high,,
RUPTL-SUMATRA-P-0002,Tanjung Semanto,PLTBm,9.8,Aceh,sumatra,Construction,2025,2025,,IPP,Tabel A1.11,607,4.366379,98.085744,reference_100gw:RUPTL-76e7331f66d6,medium,RUPTL-76e7331f66d6,https://www.openstreetmap.org/node/13360598430
RUPTL-SUMATRA-P-0003,Bayu Sumatera1),PLTB,55.0,Aceh,sumatra,Planned,2026,2026,,SH-PLN,Tabel A1.11,607,5.478614,95.306740,reference_100gw:RUPTL-3ec9b00e4b4d,medium,RUPTL-3ec9b00e4b4d,/api/rencana/ruptl/page/601.png?scale=2.2
RUPTL-SUMATRA-P-0004,Bayu Sumatera1),PLTB,55.0,Aceh,sumatra,Planned,2028,2028,,SH-PLN,Tabel A1.11,607,5.478614,95.306740,reference_100gw:RUPTL-3ec9b00e4b4d,medium,RUPTL-3ec9b00e4b4d,/api/rencana/ruptl/page/601.png?scale=2.2
RUPTL-SUMATRA-P-0005,Sumatera BESS-1#1,BESS,50.0,Aceh,sumatra,Planned,2026,2026,,SH-PLN,Tabel A1.11,607,4.864940,96.971821,province_centroid,low,,
RUPTL-SUMATRA-P-0006,Aceh Tamiang,PLTBg,3.0,Aceh,sumatra,Construction,2026,2026,,IPP,Tabel A1.11,607,4.473089,97.968184,reference_100gw:RUPTL-7e684c475362,medium,RUPTL-7e684c475362,https://berkas.dpr.go.id/ksap/pfsd2018/page/Ignasius%20Jonan.pdf
RUPTL-SUMATRA-P-0007,Langsa,PLTBm,10.0,Aceh,sumatra,Committed,2027,2027,,IPP,Tabel A1.11,607,4.510911,97.943056,gazetteer_substation:GI-SMT-0001,medium,,
RUPTL-SUMATRA-P-0008,Sumatera(Kuota) Tersebar Sumbagut1),PLTM,14.4,Aceh,sumatra,Planned,2027,2027,,IPP,Tabel A1.11,607,4.826676,96.794132,province_centroid,low,,
RUPTL-SUMATRA-P-0009,Sumbagut / Banda Aceh3),PLTG,80.0,Aceh,sumatra,Planned,2028,2028,,PLN,Tabel A1.11,607,5.538818,95.341397,reference_100gw:RUPTL-06d93c9ce154,medium,RUPTL-06d93c9ce154,https://www.openstreetmap.org/way/468197327
RUPTL-SUMATRA-P-0010,Sumatera(Kuota) Tersebar Sumbagut1),PLTM,10.0,Aceh,sumatra,Planned,2029,2029,,IPP,Tabel A1.11,607,4.861902,96.731509,province_centroid,low,,
