id,name,voltage_kv,action_type,capacity_mva,target_cod_year,status,province,region_key,source_page,source_table
RUPTL-SULAWESI-GI-0001,Bitung Baru,150/70,New,60.0,2025,Committed,Sulawesi Utara,sulawesi,967,Tabel C1.19
RUPTL-SULAWESI-GI-0002,Bitung Baru,150/20,New,60.0,2025,Committed,Sulawesi Utara,sulawesi,967,Tabel C1.19
RUPTL-SULAWESI-GI-0003,Tanjung Merah,150,Extension,2.0,2025,Committed,Sulawesi Utara,sulawesi,967,Tabel C1.19
RUPTL-SULAWESI-GI-0004,Likupang,150,Extension,2.0,2026,Construction,Sulawesi Utara,sulawesi,968,Tabel C1.22
RUPTL-SULAWESI-GI-0005,Belang,150/20,New,30.0,2027,Planned,Sulawesi Utara,sulawesi,968,Tabel C1.22
RUPTL-SULAWESI-GI-0006,Belang,150,Extension,2.0,2027,Planned,Sulawesi Utara,sulawesi,968,Tabel C1.22
RUPTL-SULAWESI-GI-0007,Kema (PLTU Sulut 3),150,Extension,2.0,2027,Planned,Sulawesi Utara,sulawesi,968,Tabel C1.22
RUPTL-SULAWESI-GI-0008,Likupang,150,Extension,2.0,2027,Planned,Sulawesi Utara,sulawesi,968,Tabel C1.22
RUPTL-SULAWESI-GI-0009,Molibagu,150,Extension,2.0,2027,Planned,Sulawesi Utara,sulawesi,968,Tabel C1.22
RUPTL-SULAWESI-GI-0010,Molibagu,150,Extension,2.0,2027,Planned,Sulawesi Utara,sulawesi,968,Tabel C1.22
RUPTL-SULAWESI-GI-0011,Tutuyan,150,Extension,2.0,2027,Planned,Sulawesi Utara,sulawesi,968,Tabel C1.22
RUPTL-SULAWESI-GI-0012,Tutuyan,150,Extension,2.0,2027,Planned,Sulawesi Utara,sulawesi,968,Tabel C1.22
RUPTL-SULAWESI-GI-0013,Lolak,150,Extension,2.0,2027,Planned,Sulawesi Utara,sulawesi,968,Tabel C1.22
RUPTL-SULAWESI-GI-0014,Sawangan,70,Extension,2.0,2030,Committed,Sulawesi Utara,sulawesi,968,Tabel C1.22
RUPTL-SULAWESI-GI-0015,Otam,150,Extension,3.0,2031,Planned,Sulawesi Utara,sulawesi,968,Tabel C1.22
RUPTL-SULAWESI-GI-0016,Sario (GIS)/Manado Kota TOTAL :,150/20,Extension,270.0,2033,Planned,Sulawesi Utara,sulawesi,968,Tabel C1.22
RUPTL-SULAWESI-GI-0017,Andowia (sisi 150 kV GITET Andowia),150,Extension,2.0,2027,Planned,Sulawesi Tengah,sulawesi,977,Tabel C2.10
RUPTL-SULAWESI-GI-0018,Bungku (sisi 150 kV GITET Bungku),150,Extension,2.0,2027,Planned,Sulawesi Tengah,sulawesi,977,Tabel C2.10
RUPTL-SULAWESI-GI-0019,Bungku (sisi 150 kV GITET Bungku),150,Extension,2.0,2027,Planned,Sulawesi Tengah,sulawesi,977,Tabel C2.10
RUPTL-SULAWESI-GI-0020,Kolonedale,150,Extension,2.0,2029,Planned,Sulawesi Tengah,sulawesi,977,Tabel C2.10
RUPTL-SULAWESI-GI-0021,GITET Bungku,275/150,Extension,252.0,2031,Planned,Sulawesi Tengah,sulawesi,977,Tabel C2.10
RUPTL-SULAWESI-GI-0022,Bungku,150/20,New,30.0,2025,Construction,Sulawesi Tengah,sulawesi,986,Tabel C2.19
RUPTL-SULAWESI-GI-0023,Tentena,150,Extension,2.0,2025,Construction,Sulawesi Tengah,sulawesi,986,Tabel C2.19
RUPTL-SULAWESI-GI-0024,Ampana,150,Extension,2.0,2025,Construction,Sulawesi Tengah,sulawesi,986,Tabel C2.19
RUPTL-SULAWESI-GI-0025,Ampana,150/20,New,30.0,2025,Construction,Sulawesi Tengah,sulawesi,986,Tabel C2.19
RUPTL-SULAWESI-GI-0026,Bunta,150/20,New,30.0,2025,Construction,Sulawesi Tengah,sulawesi,986,Tabel C2.19
RUPTL-SULAWESI-GI-0027,Bungku,150,Extension,2.0,2025,Construction,Sulawesi Tengah,sulawesi,986,Tabel C2.19
RUPTL-SULAWESI-GI-0028,GITET Tentena,275/150,Extension,250.0,2025,Committed,Sulawesi Tengah,sulawesi,986,Tabel C2.19
RUPTL-SULAWESI-GI-0029,GITET Tentena,275/150,Extension,250.0,2025,Committed,Sulawesi Tengah,sulawesi,986,Tabel C2.19
RUPTL-SULAWESI-GI-0030,Leok/Buol,150/20,New,30.0,2025,Construction,Sulawesi Tengah,sulawesi,986,Tabel C2.19
RUPTL-SULAWESI-GI-0031,Moutong,150/20,New,30.0,2025,Construction,Sulawesi Tengah,sulawesi,986,Tabel C2.19
RUPTL-SULAWESI-GI-0032,Moutong,150,Extension,2.0,2025,Construction,Sulawesi Tengah,sulawesi,986,Tabel C2.19
RUPTL-SULAWESI-GI-0033,Poso,150,Extension,2.0,2025,Committed,Sulawesi Tengah,sulawesi,986,Tabel C2.19
RUPTL-SULAWESI-GI-0034,Tambu,150/20,New,30.0,2025,Construction,Sulawesi Tengah,sulawesi,986,Tabel C2.19
RUPTL-SULAWESI-GI-0035,Toili,150,Extension,2.0,2025,Construction,Sulawesi Tengah,sulawesi,986,Tabel C2.19
