id,name,voltage_kv,action_type,capacity_mva,target_cod_year,status,province,region_key,source_page,source_table
RUPTL-SUMATRA-GI-0001,GITET Sumatera 2,500/275,New,501.0,2033,Planned,Aceh,sumatra,612,Tabel A1.15
RUPTL-SUMATRA-GI-0002,Nagan Raya,275/150,Extension,251.0,2025,Planned,Aceh,sumatra,612,Tabel A1.15
RUPTL-SUMATRA-GI-0003,Sigli,275/150,Extension,251.0,2025,Planned,Aceh,sumatra,612,Tabel A1.15
RUPTL-SUMATRA-GI-0004,Arun (Arah Sigli),275,Extension,2.0,2026,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0005,Ulee Kareng,275/150,Extension,251.0,2027,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0006,Arun,275/150,Extension,251.0,2027,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0007,Arun (Arah KTT AGI),275,Extension,2.0,2030,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0008,GITET Sumatera 2,275,New,2.0,2033,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0009,GITET Sumatera 3,275,New,2.0,2033,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0010,Blang Pidie,150/20,Extension,31.0,2025,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0011,Blang Pidie (Arah Tapak Tuan),150,Extension,2.0,2025,Construction,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0012,Krueng Raya,150/20,Extension,61.0,2025,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0013,Peusangan-1,150,New,4.0,2025,Construction,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0014,Peusangan-2,150,New,4.0,2025,Construction,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0015,Sigli,150/20,Uprate,61.0,2025,Construction,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0016,Takengon,150/20,Extension,61.0,2025,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0017,Tapak Tuan,150/20,New,31.0,2025,Construction,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0018,Arun (Arah GI Switching PIM & Pupuk Indonesia JV),150,Extension,2.0,2026,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0019,Banda Aceh (Arah Lampisang/PLTB Aceh),150,Extension,2.0,2026,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0020,Lampisang/PLTB Aceh,150/20,New,61.0,2026,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0021,GI Switching PIM & Pupuk Indonesia JV,150,New,4.0,2026,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0022,Calang,150/20,New,31.0,2027,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0023,Meulaboh (Arah Calang),150,Extension,2.0,2027,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0024,Subulussalam (Arah Tapak Tuan),150,Extension,2.0,2027,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0025,Tapak Tuan (Arah Subulussalam),150,Extension,2.0,2027,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0026,GI Switching Kota Fajar,150,New,6.0,2027,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0027,Ulee Kareng,150/20,Extension,61.0,2028,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0028,Blangkejeren,150/20,New,31.0,2029,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0029,Kumbih,150,New,4.0,2029,Construction,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0030,Takengon (Arah Blangkejeren),150,Extension,2.0,2029,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0031,Kutacane,150/20,Extension,61.0,2030,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0032,Lampisang/PLTB Aceh,150/20,Extension,61.0,2031,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0033,Calang (Arah Lampisang/PLTB Aceh),150,Extension,2.0,2032,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0034,Lampisang/PLTB Aceh (Arah Calang),150,Extension,2.0,2032,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0035,Blangkejeren (Arah Kutacane),150,Extension,2.0,2032,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0036,Kutacane (Arah Blangkejeren),150,Extension,2.0,2032,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0037,Singkil (Arah Parlilitan),150,Extension,2.0,2032,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0038,Tapak Tuan (Arah KTT Anvaya),150,Extension,2.0,2033,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0039,Meulaboh (Arah KTT Powerindo Cipta Energy),150,Extension,2.0,2033,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0040,Panton Labu,150/20,Uprate,61.0,2033,Planned,Aceh,sumatra,613,Tabel A1.18
RUPTL-SUMATRA-GI-0041,Rantau Prapat,500/275,New,501.0,2028,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0042,Galang,500/275,New,502.0,2028,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0043,Rantau Prapat,500/275,Extension,501.0,2030,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0044,Inalum/Kuala Tanjung*,500/275,New,503.0,2032,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0045,GITET Sumatera 1,500,New,4.0,2033,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0046,PLTA Pump Storage,500,Extension,2.0,2033,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0047,PLTA Pump Storage-1,500,New,2.0,2033,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0048,Galang (Arah Pump Storage),500,Extension,2.0,2033,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0049,Pangkalan Susu (Arah Arun),275,Extension,2.0,2026,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0050,Pangkalan Susu (Arah Medan Barat),275,Extension,2.0,2026,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0051,Medan Barat,275/150,New,501.0,2026,Committed,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0052,Batang Toru,275,New,4.0,2026,Construction,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0053,Medan Barat,275/150,Extension,501.0,2028,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0054,Rantau Prapat,275/150,New,251.0,2028,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0055,Rantau Prapat (Arah Sarulla),275,Extension,2.0,2028,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0056,Sarulla (Arah Rantau Prapat),275,Extension,2.0,2028,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0057,Galang,275,Extension,2.0,2028,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0058,Rantau Prapat,275/150,Extension,251.0,2030,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0059,Medan Timur,275/150,New,251.0,2032,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0060,Galang (Arah Medan Timur),275,Extension,2.0,2032,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0061,Medan Timur,275/150,Extension,251.0,2033,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0062,Glugur,150/20,Extension,61.0,2025,Construction,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0063,PLTA Asahan III,150/20,New,31.0,2025,Construction,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0064,Simangkok (Arah PLTA Asahan III),150,Extension,2.0,2025,Construction,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0065,Dolok Sanggul,150/20,Extension,61.0,2025,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0066,KIM,150/20,Extension,61.0,2025,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0067,Payapasir,150/20,Extension,61.0,2025,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0068,Medan Barat,150/20,New,61.0,2026,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0069,Natal,150/20,New,31.0,2026,Committed,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0070,PLTP Sorik Merapi (Arah Natal),150,Extension,2.0,2026,Committed,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0071,Gunung Para,150/20,Extension,61.0,2026,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0072,GIS Kesawan,150/20,New,62.0,2027,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0073,GIS Kesawan (Arah Listrik),150,Extension,1.0,2027,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0074,Glugur (Arah Kesawan),150,Extension,2.0,2027,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0075,Listrik (Arah Kesawan),150,Extension,1.0,2027,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0076,Medan Timur,150/20,New,62.0,2027,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0077,GI/GIS Pancing,150/20,New,61.0,2027,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0078,Medan Timur (Arah Pancing),150,Extension,2.0,2027,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0079,Parlilitan,150/20,New,61.0,2027,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0080,Dolok Sanggul (Arah Parlilitan),150,Extension,2.0,2027,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0081,Kuala,150/20,New,61.0,2027,Construction,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0082,Binjai (Arah Kuala),150,Extension,2.0,2027,Planned,Sumatera Utara,sumatra,628,Tabel A2.17
RUPTL-SUMATRA-GI-0083,Perawang,500/275,Extension,501.0,2025,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0084,Peranap,500/150,Extension,501.0,2028,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0085,Perawang (Arah Rantau Prapat),500,Extension,2.0,2028,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0086,Peranap (Arah Konverter)*,500*,Extension,2.0,2031,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0087,Peranap (Konverter)*,500 *,New,1500.0,2031,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0088,LP Sungai Guntung (Arah Rempang/Tanjung Gundap)*,500 *,New,4.0,2031,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0089,Peranap (Arah Konverter)*,500*,Extension,2.0,2032,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0090,LP Sungai Guntung (Arah Rempang)*,500 *,Extension,4.0,2032,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0091,Peranap (Konverter)*,500 *,Extension,1500.0,2032,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0092,Perawang (HVDC) (Arah Peninsular)*,500*,Extension,2.0,2034,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0093,Perawang (Ex New Garuda Sakti),275/150,Extension,251.0,2025,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0094,Perawang (Ex New Garuda Sakti),275/150,Extension,251.0,2027,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0095,Bagan Siapi-Api,150/20,Extension,61.0,2025,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0096,Dumai (Arah Lubuk Gaung),150,Extension,2.0,2025,Construction,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0097,KID (Arah Pakning),150,Extension,2.0,2025,Planned,Riau,sumatra,641,Tabel A3.16
RUPTL-SUMATRA-GI-0098,Lubuk Gaung,150/20,New,62.0,2025,Construction,Riau,sumatra,641,Tabel A3.16
