id,name,from_bus,to_bus,voltage_kv,action_type,circuits,line_type,length_km,target_cod_year,status,province,region_key,source_page,source_table
RUPTL-KALIMANTAN-T-0001,Sandai — Tayan,Sandai,Tayan,150,New,2,SUTT,332.0,2025,Construction,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0002,Air Upas — Inc 2 phi (Kendawangan - Sukamara),Air Upas,Inc 2 phi (Kendawangan - Sukamara),150,New,4,SUTT,20.0,2025,Committed,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0003,Ambawang — Inc 2 phi (Siantan- Tayan),Ambawang,Inc 2 phi (Siantan- Tayan),150,New,4,SUTT,14.0,2025,Committed,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0004,Sintang — Nanga Pinoh,Sintang,Nanga Pinoh,150,New,2,SUTT,112.0,2025,Committed,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0005,Parit Baru — Siantan,Parit Baru,Siantan,150,,2,SUTT,35.0,2026,Planned,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0006,Simpang Silat — Putussibau,Simpang Silat,Putussibau,150,New,2,SUTT,332.0,2026,Committed,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0007,Sintang — Simpang Silat,Sintang,Simpang Silat,150,New,2,SUTT,110.0,2026,Committed,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0008,Simpang Tanjung — Inc 2 Phi (Tayan- Sanggau),Simpang Tanjung,Inc 2 Phi (Tayan- Sanggau),150,New,4,SUTT,8.0,2026,Committed,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0009,Simpang Tanjung — Sekayam,Simpang Tanjung,Sekayam,150,New,2,SUTT,130.0,2026,Committed,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0010,PLTGU Kalbar- 1 — Inc 2 Phi ( Ketapang - Kendawangan),PLTGU Kalbar- 1,Inc 2 Phi ( Ketapang - Kendawangan),150,New,4,SUTT,5.6,2026,Planned,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0011,Kalbar-1 (PLTS+BESS) — GI Eksisting / Baru Sistem Khatulistiwa,Kalbar-1 (PLTS+BESS),GI Eksisting / Baru Sistem Khatulistiwa,150,New,2,SUTT,10.0,2026,Planned,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0012,Badau — Simpang Silat,Badau,Simpang Silat,150,New,2,SUTT,204.0,2026,Committed,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0013,Tayan — PLTS Kalbar,Tayan,PLTS Kalbar,150,New,2,SUTT,10.0,,Planned,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0014,Ambawang — Sei raya,Ambawang,Sei raya,150,New,2,SKTT,16.0,2027,Planned,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0015,Siantan — Tayan,Siantan,Tayan,150,,2,SUTT,200.0,2028,Planned,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0016,Ambawang — Rasau,Ambawang,Rasau,150,New,2,SUTT,100.0,2028,Planned,Kalimantan Barat,kalimantan,739,Tabel A11.13
RUPTL-KALIMANTAN-T-0017,Kotabaru — Rasau,Kotabaru,Rasau,150,New,2,SUTT,60.0,2028,Planned,Kalimantan Barat,kalimantan,739,Tabel A11.13
