id,name,from_bus,to_bus,voltage_kv,action_type,circuits,line_type,length_km,target_cod_year,status,province,region_key,source_page,source_table
RUPTL-NTB-T-0001,GI Jeranjang — GI Sekotong,GI Jeranjang,GI Sekotong,150,New,2,SUTT,57.0,2025,Kontruksi,Nusa Tenggara Barat,ntb,1161,Tabel C11.12
RUPTL-NTB-T-0002,GI Mataram — GI Mantang,GI Mataram,GI Mantang,150,New,2,SUTT,40.0,2025,Committed,Nusa Tenggara Barat,ntb,1161,Tabel C11.12
RUPTL-NTB-T-0003,PLTMG Sumbawa 4 — Incomer 2 phi (Labuhan - Empang),PLTMG Sumbawa 4,Incomer 2 phi (Labuhan - Empang),150,New,4,SUTT,12.0,2027,Planned,Nusa Tenggara Barat,ntb,1161,Tabel C11.12
RUPTL-NTB-T-0004,PLTB Lombok (Kuota) Tersebar 30 MW — GI Eksisting / GI Rencana Sistem Lombok,PLTB Lombok (Kuota) Tersebar 30 MW,GI Eksisting / GI Rencana Sistem Lombok,150,New,2,SUTT,10.0,2027,Planned,Nusa Tenggara Barat,ntb,1161,Tabel C11.12
RUPTL-NTB-T-0005,PLTS + BESS Sumbawa- Bima (Kuota) Tersebar 50 MW — GI Eksisting / GI Rencana Sistem Sumbawa- Bima,PLTS + BESS Sumbawa- Bima (Kuota) Tersebar 50 MW,GI Eksisting / GI Rencana Sistem Sumbawa- Bima,70 / 150,New,2,SUTT,10.0,2027,Planned,Nusa Tenggara Barat,ntb,1161,Tabel C11.12
RUPTL-NTB-T-0006,PLTB Lombok (Kuota) Tersebar 30 MW — GI Eksisting / GI Rencana Sistem Lombok,PLTB Lombok (Kuota) Tersebar 30 MW,GI Eksisting / GI Rencana Sistem Lombok,150,New,2,SUTT,10.0,2028,Planned,Nusa Tenggara Barat,ntb,1161,Tabel C11.12
RUPTL-NTB-T-0007,PLTS + BESS Lombok (Kuota) Tersebar 20 MW — GI Eksisting / GI Rencana Sistem Lombok,PLTS + BESS Lombok (Kuota) Tersebar 20 MW,GI Eksisting / GI Rencana Sistem Lombok,150,New,2,SUTT,10.0,2028,Planned,Nusa Tenggara Barat,ntb,1161,Tabel C11.12
RUPTL-NTB-T-0008,PLTS + BESS Sumbawa- — GI Eksisting / GI Rencana,PLTS + BESS Sumbawa-,GI Eksisting / GI Rencana,70 / 150,New,2,SUTT,10.0,2029,Planned,Nusa Tenggara Barat,ntb,1161,Tabel C11.12
RUPTL-NTB-T-0009,PLTS + BESS Lombok (Kuota) Tersebar 30 MW — GI Eksisting / GI Rencana Sistem Lombok,PLTS + BESS Lombok (Kuota) Tersebar 30 MW,GI Eksisting / GI Rencana Sistem Lombok,150,New,2,SUTT,10.0,2030,Planned,Nusa Tenggara Barat,ntb,1162,Tabel C11.15
RUPTL-NTB-T-0010,PLTS + BESS Sumbawa- Bima (Kuota) Tersebar 50 MW — GI Eksisting / GI Rencana Sistem Sumbawa- Bima,PLTS + BESS Sumbawa- Bima (Kuota) Tersebar 50 MW,GI Eksisting / GI Rencana Sistem Sumbawa- Bima,70 / 150,New,2,SUTT,10.0,2031,Planned,Nusa Tenggara Barat,ntb,1162,Tabel C11.15
RUPTL-NTB-T-0011,PLTS + BESS Lombok (Kuota) Tersebar 50 MW — GI Eksisting / GI Rencana Sistem Lombok,PLTS + BESS Lombok (Kuota) Tersebar 50 MW,GI Eksisting / GI Rencana Sistem Lombok,150,New,2,SUTT,10.0,2033,Planned,Nusa Tenggara Barat,ntb,1162,Tabel C11.15
RUPTL-NTB-T-0012,GI Maluk — GI Taliwang,GI Maluk,GI Taliwang,70,New,2,SUTT,40.0,2033,Planned,Nusa Tenggara Barat,ntb,1162,Tabel C11.15
RUPTL-NTB-T-0013,PLTS + BESS Sumbawa- Bima (Kuota) Tersebar 50 MW — GI Eksisting / GI Rencana Sistem Sumbawa- Bima Total,PLTS + BESS Sumbawa- Bima (Kuota) Tersebar 50 MW,GI Eksisting / GI Rencana Sistem Sumbawa- Bima Total,70 / 150,New,2,SUTT,159.0,2034,Planned,Nusa Tenggara Barat,ntb,1162,Tabel C11.15
