id,name,from_bus,to_bus,voltage_kv,action_type,circuits,line_type,length_km,target_cod_year,status,province,region_key,source_page,source_table
RUPTL-SULAWESI-T-0001,Tanjung Merah — Bitung Baru,Tanjung Merah,Bitung Baru,150,New,2,SUTT,40.0,2025,Committed,Sulawesi Utara,sulawesi,966,Tabel C1.18
RUPTL-SULAWESI-T-0002,PLTMG Minahasa — Likupang,PLTMG Minahasa,Likupang,150,New,2,SUTT,1.0,2026,Construction,Sulawesi Utara,sulawesi,966,Tabel C1.18
RUPTL-SULAWESI-T-0003,Belang — Tutuyan,Belang,Tutuyan,150,New,2,SUTT,80.0,2027,Planned,Sulawesi Utara,sulawesi,966,Tabel C1.18
RUPTL-SULAWESI-T-0004,Kema (PLTU Sulut 3) — Belang,Kema (PLTU Sulut 3),Belang,150,New,2,SUTT,110.0,2027,Planned,Sulawesi Utara,sulawesi,966,Tabel C1.18
RUPTL-SULAWESI-T-0005,Likupang — Bitung Baru,Likupang,Bitung Baru,150,,1,SUTT,32.0,2027,Planned,Sulawesi Utara,sulawesi,966,Tabel C1.18
RUPTL-SULAWESI-T-0006,Molibagu — Botupingge,Molibagu,Botupingge,150,New,2,SUTT,206.0,2027,Planned,Sulawesi Utara,sulawesi,966,Tabel C1.18
RUPTL-SULAWESI-T-0007,Tutuyan — Molibagu,Tutuyan,Molibagu,150,New,2,SUTT,160.0,2027,Planned,Sulawesi Utara,sulawesi,966,Tabel C1.18
RUPTL-SULAWESI-T-0008,Lolak — Kawasan Industri Boalangan Mongondow (KIMO),Lolak,Kawasan Industri Boalangan Mongondow (KIMO),150,New,2,SUTT,8.0,2027,Planned,Sulawesi Utara,sulawesi,966,Tabel C1.18
RUPTL-SULAWESI-T-0009,PLTP Sulbagut (Kuota) Tersebar 30 MW — GI Eksisting / New Sistem Sulbagut,PLTP Sulbagut (Kuota) Tersebar 30 MW,GI Eksisting / New Sistem Sulbagut,150,New,2,SUTT,20.0,2027,Planned,Sulawesi Utara,sulawesi,966,Tabel C1.18
RUPTL-SULAWESI-T-0010,PLTP Sulbagut (Kuota) Tersebar 40 MW — GI Eksisting / New Sistem Sulbagut,PLTP Sulbagut (Kuota) Tersebar 40 MW,GI Eksisting / New Sistem Sulbagut,150,New,2,SUTT,20.0,2028,Planned,Sulawesi Utara,sulawesi,966,Tabel C1.18
