id,name,from_bus,to_bus,voltage_kv,action_type,circuits,line_type,length_km,target_cod_year,status,province,region_key,source_page,source_table
RUPTL-SUMATRA-T-0001,GITET Sumatera 2 — GITET Sumatera 1,GITET Sumatera 2,GITET Sumatera 1,500,,,,551.0,2033,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0002,Pangkalan Susu — Arun,Pangkalan Susu,Arun,275,,,,448.0,2026,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0003,Arun — Sigli,Arun,Sigli,275,,,,294.0,2026,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0004,Arun — KTT Augustus Global Investment,Arun,KTT Augustus Global Investment,275,,,,3.0,2030,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0005,GITET Sumatera 3 — GITET Sumatera 2,GITET Sumatera 3,GITET Sumatera 2,275,,,,195.0,2033,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0006,Blang Pidie — Tapak Tuan,Blang Pidie,Tapak Tuan,150,,,,130.0,2025,Construction,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0007,Banda Aceh — Lampisang / PLTB Aceh,Banda Aceh,Lampisang / PLTB Aceh,150,,,,30.0,2026,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0008,Arun — GI Switching PIM & Pupuk Indonesia JV,Arun,GI Switching PIM & Pupuk Indonesia JV,150,,,,15.0,2026,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0009,Calang — Meulaboh,Calang,Meulaboh,150,,,,128.0,2027,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0010,Tapak Tuan — Subulussalam,Tapak Tuan,Subulussalam,150,,,,280.0,2027,Committed,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0011,GI Switching Kota Fajar — Inc 2 Phi (Tapak Tuan - Subulussalam),GI Switching Kota Fajar,Inc 2 Phi (Tapak Tuan - Subulussalam),150,,,,4.0,2027,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0012,GI Switching Kota Fajar — PT Kota Fajar Semen Indonesia,GI Switching Kota Fajar,PT Kota Fajar Semen Indonesia,150,,,,1.0,2027,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0013,Kumbih — Inc. 2 Phi (Sabulussalam- Sidikalang),Kumbih,Inc. 2 Phi (Sabulussalam- Sidikalang),150,,,,10.0,2029,Construction,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0014,Takengon — Blangkejeren,Takengon,Blangkejeren,150,,,,206.0,2029,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0015,Calang — Lampisang / PLTB Aceh,Calang,Lampisang / PLTB Aceh,150,,,,108.0,2032,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0016,Blangkejeren — Kutacane,Blangkejeren,Kutacane,150,,,,80.0,2032,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0017,Singkil — Parlilitan,Singkil,Parlilitan,150,,,,51.0,2032,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0018,Anvaya Svarnadvipa Asastra — Tapak Tuan,Anvaya Svarnadvipa Asastra,Tapak Tuan,150,,,,10.0,2033,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0019,Powerindo Cipta Energy — Meulaboh,Powerindo Cipta Energy,Meulaboh,150,,,,10.0,2033,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0020,PLTGU Sumbagut / Banda Aceh 50 MW — GI Eksisting / Baru Sumatera,PLTGU Sumbagut / Banda Aceh 50 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2026,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0021,Sumatera BESS-1 50 MW — GI Eksisting / Baru Sumatera,Sumatera BESS-1 50 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2026,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0022,Pembangkit Bayu 55 MW — GI Eksisting / Baru Sumatera,Pembangkit Bayu 55 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2026,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0023,PLTG / GU Sumbagut / Banda Aceh 80 MW — GI Eksisting / Baru Sumatera,PLTG / GU Sumbagut / Banda Aceh 80 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2028,Planned,Aceh,sumatra,611,Tabel A1.12
RUPTL-SUMATRA-T-0024,Pembangkit Bayu 55 MW — GI Eksisting / Baru Sumatera,Pembangkit Bayu 55 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2028,Planned,Aceh,sumatra,611,Tabel A1.12
