ruptl_id,name,voltage_kv,action_type,capacity_mva,target_cod_year,status,province,classification,baseline_id,baseline_name,source_page,source_table
RUPTL-JAMALI-GI-0001,Gandul II / Pamulang,150/20,New,120.0,2025,Planned,Dki Jakarta,NEW_BUILD,,,821,Tabel B1.14
RUPTL-JAMALI-GI-0002,Muara Tawar,500,Extension,,2025,Construction,Dki Jakarta,NEW_BUILD,,,821,Tabel B1.14
RUPTL-JAMALI-GI-0003,Budi Kemuliaan,150,Uprate,2.0,2025,Planned,Dki Jakarta,EXISTING_UPRATE,GI-JMB-0007,Budi Kemuliaan,821,Tabel B1.14
RUPTL-JAMALI-GI-0004,Muara Karang Lama,150,Uprate,2.0,2025,Planned,Dki Jakarta,NEW_BUILD,,,821,Tabel B1.14
RUPTL-JAMALI-GI-0005,Marunda,150,Extension,2.0,2025,Construction,Dki Jakarta,EXISTING_EXT,GI-JMB-0052,Marunda,821,Tabel B1.14
RUPTL-JAMALI-GI-0006,Senayan III / Ulujami,150/20,Extension,60.0,2026,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0072,Senayan III / Ulujami,821,Tabel B1.14
RUPTL-JAMALI-GI-0007,Setiabudi II / Casablanca,150/20,New,120.0,2026,Planned,Dki Jakarta,NEW_BUILD,,,821,Tabel B1.14
RUPTL-JAMALI-GI-0008,Dukuh Atas,150,Extension,1.0,2026,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0017,Dukuh Atas,821,Tabel B1.14
RUPTL-JAMALI-GI-0009,Manggarai,150,Extension,1.0,2026,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0051,Manggarai,821,Tabel B1.14
RUPTL-JAMALI-GI-0010,Gandul,500,Extension,1.0,2026,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0024,Gandul,821,Tabel B1.14
RUPTL-JAMALI-GI-0011,Cawang Lama,150,Extension,2.0,2026,Planned,Dki Jakarta,NEW_BUILD,,,821,Tabel B1.14
RUPTL-JAMALI-GI-0012,Cawang Lama,150,Extension,,2026,Planned,Dki Jakarta,NEW_BUILD,,,821,Tabel B1.14
RUPTL-JAMALI-GI-0013,Abadi Guna Papan,150,Extension,2.0,2026,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0001,Abadi Guna Papan,821,Tabel B1.14
RUPTL-JAMALI-GI-0014,Angke,150,Extension,2.0,2027,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0003,Angke,821,Tabel B1.14
RUPTL-JAMALI-GI-0015,Ancol II / Pinangsia,150/20,New,60.0,2027,Planned,Dki Jakarta,NEW_BUILD,,,821,Tabel B1.14
RUPTL-JAMALI-GI-0016,Duren Tiga II / Ragunan,150/20,Extension,60.0,2027,Construction,Dki Jakarta,EXISTING_EXT,GI-JMB-0078,Duren Tiga II / Ragunan,821,Tabel B1.14
RUPTL-JAMALI-GI-0017,Duri Kosambi,500/150,Extension,500.0,2027,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0019,Duri Kosambi,821,Tabel B1.14
RUPTL-JAMALI-GI-0018,Duri Kosambi,500/150,Extension,500.0,2027,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0019,Duri Kosambi,821,Tabel B1.14
RUPTL-JAMALI-GI-0019,Duri Kosambi,150,Extension,,2027,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0019,Duri Kosambi,821,Tabel B1.14
RUPTL-JAMALI-GI-0020,Kapuk / PIK,150/20,Extension,60.0,2027,Construction,Dki Jakarta,NEW_BUILD,,,821,Tabel B1.14
RUPTL-JAMALI-GI-0021,Gambir Lama II,150,Extension,1.0,2027,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0021,Gambir Lama,821,Tabel B1.14
RUPTL-JAMALI-GI-0022,Karet Lama,150,Extension,1.0,2027,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0037,Karet Lama,821,Tabel B1.14
RUPTL-JAMALI-GI-0023,Muara Karang Lama,150,New,1.0,2027,Planned,Dki Jakarta,NEW_BUILD,,,821,Tabel B1.14
RUPTL-JAMALI-GI-0024,Muara Karang New,150/20,New,60.0,2027,Construction,Dki Jakarta,RECLASSIFY_NEW,GI-JMB-0054,Muara Karang Baru,821,Tabel B1.14
RUPTL-JAMALI-GI-0025,PLTD Senayan,150,Extension,1.0,2027,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0055,New Senayan,821,Tabel B1.14
RUPTL-JAMALI-GI-0026,Gedung Pola,150,Extension,1.0,2027,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0026,Gedung Pola,821,Tabel B1.14
RUPTL-JAMALI-GI-0027,Manggarai,150,Extension,1.0,2027,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0051,Manggarai,821,Tabel B1.14
RUPTL-JAMALI-GI-0028,Cawang Baru,500/150,Extension,1000.0,2027,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0008,Cawang,821,Tabel B1.14
RUPTL-JAMALI-GI-0029,Duri Kosambi,150,Uprate,2.0,2027,Planned,Dki Jakarta,EXISTING_UPRATE,GI-JMB-0019,Duri Kosambi,821,Tabel B1.14
RUPTL-JAMALI-GI-0030,Kembangan,150,Uprate,2.0,2027,Planned,Dki Jakarta,EXISTING_UPRATE,GI-JMB-0045,Kembangan,821,Tabel B1.14
RUPTL-JAMALI-GI-0031,Kemayoran,150,Extension,1.0,2028,Planned,Dki Jakarta,EXISTING_EXT,GI-JMB-0043,Kemayoran,821,Tabel B1.14
