ruptl_id,name,voltage_kv,action_type,capacity_mva,target_cod_year,status,province,classification,baseline_id,baseline_name,source_page,source_table,override_applied,override_id,override_decision,override_by,override_date,override_reason
RUPTL-NTB-GI-0001,Jeranjang,150,Extension,2.0,2025,Construction,Nusa Tenggara Barat,EXISTING_EXT,GI-NTB-0002,Jeranjang,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0002,Mantang,150,Extension,2.0,2025,Committed,Nusa Tenggara Barat,EXISTING_EXT,GI-NTB-0004,Mantang,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0003,Mataram,150,Extension,2.0,2025,Committed,Nusa Tenggara Barat,EXISTING_EXT,GI-NTB-0011,Mataram,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0004,Empang,150/20,Extension,30.0,2027,Committed,Nusa Tenggara Barat,EXISTING_EXT,GI-NTB-0015,Empang,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0005,Jeranjang,150/20,Uprate,60.0,2027,Committed,Nusa Tenggara Barat,EXISTING_UPRATE,GI-NTB-0002,Jeranjang,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0006,Switching Mataram,150/20,New,60.0,2027,Committed,Nusa Tenggara Barat,RECLASSIFY_NEW,GI-NTB-0011,Mataram,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0007,Alas,70/20,Extension,30.0,2028,Planned,Nusa Tenggara Barat,EXISTING_EXT,GI-NTB-0021,Alas,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0008,Taliwang,70/20,Extension,30.0,2028,Planned,Nusa Tenggara Barat,EXISTING_EXT,GI-NTB-0022,Taliwang,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0009,Tanjung,150/20,Extension,60.0,2028,Planned,Nusa Tenggara Barat,EXISTING_EXT,GI-NTB-0007,Tanjung,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0010,Pringgabaya,150/20,Extension,30.0,2029,Planned,Nusa Tenggara Barat,EXISTING_EXT,GI-NTB-0008,Pringgabaya,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0011,Sape,70/20,Extension,30.0,2029,Planned,Nusa Tenggara Barat,EXISTING_EXT,GI-NTB-0024,Sape,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0012,Jeranjang,150/20,Uprate,60.0,2033,Planned,Nusa Tenggara Barat,EXISTING_UPRATE,GI-NTB-0002,Jeranjang,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0013,Labuhan/ Sumbawa,150/20,Extension,60.0,2033,Planned,Nusa Tenggara Barat,NEW_BUILD,,,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0014,Maluk,70/20,New,30.0,2033,Planned,Nusa Tenggara Barat,NEW_BUILD,,,1163,Tabel C11.15,,,,,,
RUPTL-NTB-GI-0015,New Lotim,150/20,New,30.0,2033,Planned,Nusa Tenggara Barat,NEW_BUILD,,,1163,Tabel C11.15,,,,,,
