id,name,voltage,trafo_count,capacity_mva,province,system,osm_id,osm_name,lat,lon,match_score,match_source,review_flag,source_id,source_table
GI-JMB-0001,Abadi Guna Papan,150/20,3,180.0,DKI Jakarta,Jamali,way/1314667254,Gardu Induk Abadi Guna Papan,-6.2274004,106.8233257,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0002,Ancol,150/20,3,180.0,DKI Jakarta,Jamali,way/489926384,Gardu Induk Ancol,-6.1255225,106.8253256,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0003,Angke,150/20,4,240.0,DKI Jakarta,Jamali,way/662591947,Gardu Induk Angke,-6.1345678,106.7914715,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0004,Antasari,150/20,3,180.0,DKI Jakarta,Jamali,way/966209518,Gardu Induk Antasari,-6.2728158,106.813558,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0005,Bintaro,150/20,3,180.0,DKI Jakarta,Jamali,way/662591950,Gardu Induk Bintaro,-6.2726672,106.7402914,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0006,Bintaro 2/ Pondok Aren,150/20,3,180.0,DKI Jakarta,Jamali,way/662591950,Gardu Induk Bintaro,-6.2726672,106.7402914,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0007,Budi Kemuliaan,150/20,3,180.0,DKI Jakarta,Jamali,way/966209484,Gardu Induk Budi Kemuliaan,-6.1800674,106.819882,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0008,Cawang,150/20,4,240.0,DKI Jakarta,Jamali,way/120161362,Gardu Induk Cawang Lama,-6.2615412,106.8682234,0.95,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0009,Cawang,500/150,3,1500.0,DKI Jakarta,Jamali,way/120161362,Gardu Induk Cawang Lama,-6.2615412,106.8682234,0.95,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0010,Cawang Baru,150/20,1,60.0,DKI Jakarta,Jamali,,,,,0.78,,UNMATCHED,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0011,Cengkareng,150/20,5,300.0,DKI Jakarta,Jamali,way/966209538,Gardu Induk Cengkareng,-6.1503268,106.6590982,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0012,Cipinang,150/20,3,180.0,DKI Jakarta,Jamali,way/479990457,Gardu Induk Cipinang,-6.2323721,106.8813206,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0013,Cipinang 2 / Rawamangun,150/20,2,120.0,DKI Jakarta,Jamali,way/479990457,Gardu Induk Cipinang,-6.2323721,106.8813206,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0014,CSW,150/20,2,120.0,DKI Jakarta,Jamali,way/122219250,Gardu Induk CSW,-6.2391527,106.798073,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0015,Daan Mogot,150/20,3,180.0,DKI Jakarta,Jamali,way/1316486775,GIS Daan Mogot,-6.1507098,106.7390172,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0016,Danayasa,150/20,3,180.0,DKI Jakarta,Jamali,way/966209472,GIS Danayasa,-6.2268927,106.8051157,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0017,Dukuh Atas,150/20,3,180.0,DKI Jakarta,Jamali,way/966209520,GIS Dukuh Atas,-6.2069904,106.8330596,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0018,Duren Tiga,150/20,3,180.0,DKI Jakarta,Jamali,way/966209481,Gardu Induk Duren Tiga,-6.2584956,106.8345616,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0019,Duri Kosambi,150/20,5,300.0,DKI Jakarta,Jamali,way/662591948,Gardu Induk Duri Kosambi,-6.1713414,106.7252754,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0020,Gambir Baru,150/20,4,240.0,DKI Jakarta,Jamali,way/153750857,Gardu Induk Gambir Baru,-6.1636738,106.879367,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0021,Gambir Lama,150/20,3,180.0,DKI Jakarta,Jamali,way/966209528,Gardu Induk Gambir Lama,-6.1797236,106.8351504,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0022,Gandaria,150/20,2,120.0,DKI Jakarta,Jamali,way/499237739,Gardu Induk Gandaria,-6.3548564,106.8796368,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0023,Gandaria 2 / Ciracas,150/20,2,120.0,DKI Jakarta,Jamali,way/499237739,Gardu Induk Gandaria,-6.3548564,106.8796368,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0024,Gandul,150/20,4,240.0,DKI Jakarta,Jamali,way/161960933,GITET Gandul,-6.3470048,106.7878201,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0025,Gandul,500/150,4,2000.0,DKI Jakarta,Jamali,way/161960933,GITET Gandul,-6.3470048,106.7878201,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0026,Gedung Pola,150/20,3,180.0,DKI Jakarta,Jamali,way/966209485,Gardu Induk Gedung Pola,-6.2040703,106.844685,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0027,Grogol,150/20,3,180.0,DKI Jakarta,Jamali,way/515218162,GIS Grogol,-6.166421,106.7837219,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0028,Grogol 2,150/20,2,120.0,DKI Jakarta,Jamali,way/515218162,GIS Grogol,-6.166421,106.7837219,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0029,Gunung Sahari,150/20,2,120.0,DKI Jakarta,Jamali,way/1218554843,GIS Gunung Sahari,-6.1313427,106.8317157,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
GI-JMB-0030,Harapan Indah,150/20,3,180.0,DKI Jakarta,Jamali,way/966209486,Gardu Induk Harapan Indah,-6.1588649,106.9888946,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel B1.4
