id,name,voltage,trafo_count,capacity_mva,province,system,osm_id,osm_name,lat,lon,match_score,match_source,review_flag,source_id,source_table
GI-KLM-0001,GI SEI RAYA,150/20,3,180.0,Kalimantan Barat,Khatulistiwa,way/563399563,Gardu Induk Sei Raya,-0.0734118,109.3809627,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0002,GI SIANTAN,150/20,3,165.0,Kalimantan Barat,Khatulistiwa,way/284402708,Gardu Induk Siantan,-0.0001191,109.3281223,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0003,GI PARIT BARU,150/20,2,60.0,Kalimantan Barat,Khatulistiwa,way/563122287,Gardu Induk Parit Baru,0.0592546,109.2053844,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0004,GI KOTA BARU,150/20,3,150.0,Kalimantan Barat,Khatulistiwa,way/691239967,Gardu Induk Kota Baru,-0.0750087,109.2994078,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0005,GI TAYAN,150/20,2,60.0,Kalimantan Barat,Khatulistiwa,way/691239965,Gardu Induk Tayan,0.0016321,110.0934067,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0006,GI SANGGAU,150/20,2,60.0,Kalimantan Barat,Khatulistiwa,way/934342719,Gardu Induk Sanggau,0.1237476,110.5462146,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0007,GI CENDANA,150/20,1,30.0,Kalimantan Barat,Khatulistiwa,way/1432434025,Gardu Induk Cendana,-0.0311776,109.256592,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0008,GI SENGGIRING,150/20,3,120.0,Kalimantan Barat,Khatulistiwa,,,,,0.45,,UNMATCHED,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0009,GI SINGKAWANG,150/20,3,150.0,Kalimantan Barat,Khatulistiwa,way/563399568,Gardu Induk Singkawang,0.9259135,108.9876559,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0010,GI SAMBAS,150/20,3,120.0,Kalimantan Barat,Khatulistiwa,way/563399566,Gardu Induk Sambas,1.3429382,109.2686395,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0011,GI BENGKAYANG,150/20,2,60.0,Kalimantan Barat,Khatulistiwa,way/562061281,GITET Bengkayang,0.9059682,109.4966031,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0012,GITET BENGKAYANG,275/150,2,500.0,Kalimantan Barat,Khatulistiwa,way/562061281,GITET Bengkayang,0.9059682,109.4966031,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0013,GI NGABANG,150/20,2,60.0,Kalimantan Barat,Khatulistiwa,way/934342724,Gardu Induk Ngabang,0.350304,110.001954,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0014,GI PLTU BENGKAYANG,150/20,1,30.0,Kalimantan Barat,Khatulistiwa,way/562061281,GITET Bengkayang,0.9059682,109.4966031,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0015,GIS PLTU Kalbar1,150/20,1,30.0,Kalimantan Barat,Khatulistiwa,way/1444757080,Gardu Induk PLTU Kalbar 1,0.8146375,108.8468753,0.96,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0016,GI KETAPANG,150/20,1,60.0,Kalimantan Barat,Khatulistiwa,way/934342726,Gardu Induk Ketapang,-1.8033094,109.9747217,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0017,GI KENDAWANGAN,150/20,1,30.0,Kalimantan Barat,Khatulistiwa,way/934342727,Gardu Induk Kendawangan,-2.2956756,110.137808,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0018,GI SUKADANA,150/20,1,30.0,Kalimantan Barat,Khatulistiwa,way/934342721,Gardu Induk Sukadana,-1.223325,109.9779738,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0019,GI SINTANG,150/20,1,60.0,Kalimantan Barat,Khatulistiwa,way/1175895909,Gardu Induk Sintang,0.0432104,111.4416735,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0020,GI SEKADAU,150/20,1,30.0,Kalimantan Barat,Khatulistiwa,way/1175895908,Gardu Induk Sekadau,-0.0026494,110.919577,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0021,GI SANDAI,150/20,1,30.0,Kalimantan Barat,Khatulistiwa,way/1175895912,Gardu Induk Sandai,-1.1992664,110.5393557,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A11.4
GI-KLM-0022,GI SELAT,150/20,2,50.0,Kalimantan Selatan,Kalselteng,way/613866772,Gardu Induk Selat,-3.0122131,114.3736947,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A12.4
GI-KLM-0023,GI SEBERANG BARITO,150/20,2,40.0,Kalimantan Selatan,Kalselteng,,,,,0.37,,UNMATCHED,RUPTL-2025-2034,Tabel A12.4
GI-KLM-0024,GI TRISAKTI 70 kV,70/20,3,35.0,Kalimantan Selatan,Kalselteng,way/756074059,Gardu Induk Trisakti,-3.3098903,114.570886,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A12.4
GI-KLM-0025,GI TRISAKTI 150 kV,150/20,2,120.0,Kalimantan Selatan,Kalselteng,way/756074059,Gardu Induk Trisakti,-3.3098903,114.570886,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A12.4
GI-KLM-0026,GI KAYUTANGI,150/20,2,90.0,Kalimantan Selatan,Kalselteng,way/611547069,Gardu Induk Kayutangi,-3.2302071,114.62025,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A12.4
GI-KLM-0027,GI ULIN,70/20,3,80.0,Kalimantan Selatan,Kalselteng,way/720463590,Gardu Induk Ulin,-3.3376407,114.6188248,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A12.4
GI-KLM-0028,GIS ULIN,150/20,2,120.0,Kalimantan Selatan,Kalselteng,way/720463590,Gardu Induk Ulin,-3.3376407,114.6188248,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A12.4
