id,name,voltage,trafo_count,capacity_mva,province,system,osm_id,osm_name,lat,lon,match_score,match_source,review_flag,source_id,source_table
GI-SMT-0001,Alue Dua/ Langsa,150/20,2,90.0,Aceh,Sumatera,way/609589928,Gardu Induk Langsa,4.5109106,97.9430565,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0002,Tualang Cut,150/20,3,110.0,Aceh,Sumatera,way/609589927,Gardu Induk Tualang Cut,4.3835029,98.0863908,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0003,Alue Batee/ Idi,150/20,2,50.0,Aceh,Sumatera,way/605887412,Gardu Induk Alue Batee,4.8795321,97.8390241,0.92,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0004,Lhokseumawe,150/20,2,120.0,Aceh,Sumatera,way/320433823,Gardu Induk Lhokseumawe,5.1146925,97.1822945,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0005,Bireuen,150/20,2,120.0,Aceh,Sumatera,way/605863141,Gardu Induk Bireuen,5.1318708,96.725273,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0006,Sigli,150/20,2,90.0,Aceh,Sumatera,way/398787876,Gardu Induk Sigli,5.3524427,95.9629011,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0007,Banda Aceh I / Lambaroe,150/20,3,180.0,Aceh,Sumatera,,,,,0.34,,UNMATCHED,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0008,Jantho,150/20,1,30.0,Aceh,Sumatera,way/928220389,Gardu Induk Jantho,5.3589211,95.5704197,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0009,Pantonlabu,150/20,2,60.0,Aceh,Sumatera,way/1004244347,Gardu Induk Pantonlabu,5.13019,97.4413608,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0010,PLTU Nagan Raya,150/20,1,30.0,Aceh,Sumatera,way/321541350,PLTU Nagan Raya,4.1054362,96.1977401,1.0,override:osm_plant,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0011,Arun,150/20,2,120.0,Aceh,Sumatera,way/542904306,PLTMG Arun I,5.2162499,97.0899019,1.0,override:osm_plant,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0012,Meulaboh,150/20,2,90.0,Aceh,Sumatera,way/721683958,Gardu Induk Meulaboh,4.1721922,96.111542,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0013,Blang Pidie,150/20,1,30.0,Aceh,Sumatera,way/610841759,Gardu Induk Blangpidie,3.7139163,96.8589516,0.95,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0014,Kutacane,150/20,1,30.0,Aceh,Sumatera,way/736951168,Gardu Induk Kutacane,3.4594907,97.8256586,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0015,Subulussalam,150/20,1,30.0,Aceh,Sumatera,way/928475183,Gardu Induk Subulussalam,2.632367,98.0310166,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0016,Takengon,150/20,1,30.0,Aceh,Sumatera,way/692479951,Gardu Induk Takengon,4.6193252,96.8130255,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0017,Samalanga,150/20,1,30.0,Aceh,Sumatera,way/928220387,Gardu Induk Samalanga,5.1915898,96.4455588,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0018,Ulee Kareng,150/20,1,60.0,Aceh,Sumatera,way/928220391,GITET Ulee Kareng,5.5571417,95.3889176,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0019,Krueng Raya,150/20,1,30.0,Aceh,Sumatera,way/928220390,Gardu Induk Krueng Raya,5.6412332,95.464793,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0020,Singkil,150/20,1,30.0,Aceh,Sumatera,,,,,0.67,,UNMATCHED,RUPTL-2025-2034,Tabel A1.4
GI-SMT-0021,Glugur,150/20,3,180.0,Sumatera Utara,Sumatera,way/930833479,Gardu Induk Glugur,3.6165412,98.668406,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A2.4
GI-SMT-0022,GIS Listrik,150/20,3,180.0,Sumatera Utara,Sumatera,,,,,0.44,,UNMATCHED,RUPTL-2025-2034,Tabel A2.4
GI-SMT-0023,Titi Kuning,150/20,4,240.0,Sumatera Utara,Sumatera,way/277204741,Gardu Induk Titi Kuning,3.5398566,98.6896123,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A2.4
GI-SMT-0024,Paya Pasir,150/20,2,120.0,Sumatera Utara,Sumatera,way/277204263,Gardu Induk Paya Pasir,3.714331,98.6668057,1.0,osm_fuzzy,,RUPTL-2025-2034,Tabel A2.4
