id,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-JMB-0001,150 kV,150.0,150,31.541,way/104337885,150000,OSM-overpass
TRM-JMB-0002,150 kV,150.0,150,2.566,way/104339548,150000,OSM-overpass
TRM-JMB-0003,500 kV,500.0,500,0.067,way/104339549,500000,OSM-overpass
TRM-JMB-0004,150 kV,150.0,150,4.385,way/104412317,150000,OSM-overpass
TRM-JMB-0005,150 kV,150.0,150,8.128,way/104412345,150000,OSM-overpass
TRM-JMB-0006,150 kV,150.0,150,6.609,way/104440666,150000,OSM-overpass
TRM-JMB-0007,150 kV,150.0,150,4.253,way/104440673,150000,OSM-overpass
TRM-JMB-0008,500 kV,500.0,500,38.15,way/104440835,500000,OSM-overpass
TRM-JMB-0009,150 kV,150.0,150,8.412,way/104440883,150000,OSM-overpass
TRM-JMB-0010,150 kV,150.0,150,37.169,way/104531240,150000,OSM-overpass
TRM-JMB-0011,150 kV,150.0,150,0.182,way/104538460,150000,OSM-overpass
TRM-JMB-0012,500 kV,500.0,500,202.533,way/104538462,500000,OSM-overpass
TRM-JMB-0013,150 kV,150.0,150,11.475,way/104538465,150000,OSM-overpass
TRM-JMB-0014,150 kV,150.0,150,7.998,way/104538469,150000,OSM-overpass
TRM-JMB-0015,150 kV,150.0,150,10.628,way/156048792,150000,OSM-overpass
TRM-JMB-0016,70 kV,70.0,70,8.798,way/156205758,70000,OSM-overpass
TRM-JMB-0017,70 kV,70.0,70,7.497,way/156208229,70000,OSM-overpass
TRM-JMB-0018,150 kV,150.0,150,10.343,way/156980501,150000,OSM-overpass
TRM-JMB-0019,150 kV,150.0,150,7.074,way/160831502,150000,OSM-overpass
TRM-JMB-0020,150 kV,150.0,150,3.366,way/160831513,150000,OSM-overpass
TRM-JMB-0021,150 kV,150.0,150,22.855,way/161871415,150000,OSM-overpass
TRM-JMB-0022,150 kV,150.0,150,0.104,way/161888552,150000,OSM-overpass
TRM-JMB-0023,150 kV,150.0,150,0.074,way/161888553,150000,OSM-overpass
TRM-JMB-0024,150 kV,150.0,150,0.064,way/161888554,150000,OSM-overpass
TRM-JMB-0025,150 kV,150.0,150,0.768,way/161888556,150000,OSM-overpass
TRM-JMB-0026,150 kV,150.0,150,9.307,way/161888557,150000,OSM-overpass
TRM-JMB-0027,150 kV,150.0,150,0.059,way/161888559,150000,OSM-overpass
TRM-JMB-0028,150 kV,150.0,150,0.104,way/161888560,150000,OSM-overpass
TRM-JMB-0029,150 kV,150.0,150,6.703,way/161888561,150000,OSM-overpass
TRM-JMB-0030,150 kV,150.0,150,0.071,way/161888562,150000,OSM-overpass
TRM-JMB-0031,150 kV,150.0,150,0.033,way/161948286,150000,OSM-overpass
TRM-JMB-0032,150 kV,150.0,150,14.932,way/161948287,150000,OSM-overpass
TRM-JMB-0033,150 kV,150.0,150,0.052,way/161948288,150000,OSM-overpass
TRM-JMB-0034,150 kV,150.0,150,0.05,way/161948289,150000,OSM-overpass
TRM-JMB-0035,150 kV,150.0,150,0.056,way/161948290,150000,OSM-overpass
TRM-JMB-0036,150 kV,150.0,150,0.057,way/161948291,150000,OSM-overpass
TRM-JMB-0037,150 kV,150.0,150,0.033,way/161948292,150000,OSM-overpass
TRM-JMB-0038,150 kV,150.0,150,0.052,way/161948293,150000,OSM-overpass
TRM-JMB-0039,150 kV,150.0,150,0.097,way/161948295,150000,OSM-overpass
TRM-JMB-0040,150 kV,150.0,150,0.132,way/161948297,150000,OSM-overpass
TRM-JMB-0041,150 kV,150.0,150,0.129,way/161948300,150000,OSM-overpass
TRM-JMB-0042,150 kV,150.0,150,0.053,way/161948301,150000,OSM-overpass
TRM-JMB-0043,150 kV,150.0,150,0.05,way/161948302,150000,OSM-overpass
TRM-JMB-0044,150 kV,150.0,150,0.031,way/161948303,150000,OSM-overpass
TRM-JMB-0045,150 kV,150.0,150,0.033,way/161948305,150000,OSM-overpass
TRM-JMB-0046,150 kV,150.0,150,0.098,way/161948310,150000,OSM-overpass
TRM-JMB-0047,150 kV,150.0,150,7.042,way/161948311,150000,OSM-overpass
TRM-JMB-0048,150 kV,150.0,150,19.848,way/161948312,150000,OSM-overpass
TRM-JMB-0049,150 kV,150.0,150,0.097,way/161948313,150000,OSM-overpass
TRM-JMB-0050,150 kV,150.0,150,0.096,way/161948316,150000,OSM-overpass
TRM-JMB-0051,150 kV,150.0,150,9.114,way/161948317,150000,OSM-overpass
TRM-JMB-0052,150 kV,150.0,150,0.056,way/161948318,150000,OSM-overpass
TRM-JMB-0053,150 kV,150.0,150,0.054,way/161948629,150000,OSM-overpass
TRM-JMB-0054,150 kV,150.0,150,0.098,way/161948630,150000,OSM-overpass
TRM-JMB-0055,150 kV,150.0,150,0.03,way/161948631,150000,OSM-overpass
TRM-JMB-0056,150 kV,150.0,150,0.053,way/161948634,150000,OSM-overpass
TRM-JMB-0057,150 kV,150.0,150,0.03,way/161948636,150000,OSM-overpass
TRM-JMB-0058,150 kV,150.0,150,0.03,way/161948637,150000,OSM-overpass
TRM-JMB-0059,150 kV,150.0,150,0.1,way/161948638,150000,OSM-overpass
TRM-JMB-0060,150 kV,150.0,150,0.031,way/161951295,150000,OSM-overpass
TRM-JMB-0061,150 kV,150.0,150,0.097,way/161951297,150000,OSM-overpass
TRM-JMB-0062,150 kV,150.0,150,0.064,way/161951298,150000,OSM-overpass
TRM-JMB-0063,150 kV,150.0,150,0.069,way/161951299,150000,OSM-overpass
TRM-JMB-0064,150 kV,150.0,150,4.369,way/161951302,150000,OSM-overpass
TRM-JMB-0065,150 kV,150.0,150,0.065,way/161951303,150000,OSM-overpass
TRM-JMB-0066,150 kV,150.0,150,0.139,way/161951305,150000,OSM-overpass
TRM-JMB-0067,150 kV,150.0,150,0.069,way/161951306,150000,OSM-overpass
TRM-JMB-0068,150 kV,150.0,150,0.139,way/161951307,150000,OSM-overpass
TRM-JMB-0069,150 kV,150.0,150,0.073,way/161951308,150000,OSM-overpass
TRM-JMB-0070,150 kV,150.0,150,0.097,way/161951309,150000,OSM-overpass
TRM-JMB-0071,150 kV,150.0,150,0.031,way/161951310,150000,OSM-overpass
TRM-JMB-0072,150 kV,150.0,150,0.072,way/161951311,150000,OSM-overpass
TRM-JMB-0073,500 kV,500.0,500,29.546,way/161956051,500000,OSM-overpass
TRM-JMB-0074,150 kV,150.0,150,8.757,way/161960917,150000,OSM-overpass
TRM-JMB-0075,500 kV,500.0,500,7.046,way/161960918,500000,OSM-overpass
TRM-JMB-0076,500 kV,500.0,500,0.279,way/161960919,500000,OSM-overpass
TRM-JMB-0077,500 kV,500.0,500,0.296,way/161960920,500000,OSM-overpass
TRM-JMB-0078,500 kV,500.0,500,0.237,way/161960921,500000,OSM-overpass
TRM-JMB-0079,500 kV,500.0,500,0.256,way/161960922,500000,OSM-overpass
TRM-JMB-0080,500 kV,500.0,500,14.269,way/161960923,500000,OSM-overpass
TRM-JMB-0081,500 kV,500.0,500,0.314,way/161960925,500000,OSM-overpass
TRM-JMB-0082,500 kV,500.0,500,0.254,way/161960926,500000,OSM-overpass
TRM-JMB-0083,500 kV,500.0,500,29.519,way/161960927,500000,OSM-overpass
TRM-JMB-0084,500 kV,500.0,500,0.208,way/161960928,500000,OSM-overpass
TRM-JMB-0085,500 kV,500.0,500,0.313,way/161960929,500000,OSM-overpass
TRM-JMB-0086,500 kV,500.0,500,0.167,way/161960930,500000,OSM-overpass
TRM-JMB-0087,500 kV,500.0,500,0.328,way/161960931,500000,OSM-overpass
TRM-JMB-0088,500 kV,500.0,500,0.305,way/161960932,500000,OSM-overpass
TRM-JMB-0089,150 kV,150.0,150,0.194,way/161961129,150000,OSM-overpass
TRM-JMB-0090,150 kV,150.0,150,13.883,way/161961130,150000,OSM-overpass
TRM-JMB-0091,500 kV,500.0,500,0.159,way/161961131,500000,OSM-overpass
TRM-JMB-0092,150 kV,150.0,150,0.205,way/161961132,150000,OSM-overpass
TRM-JMB-0093,150 kV,150.0,150,5.958,way/161961133,150000,OSM-overpass
TRM-JMB-0094,150 kV,150.0,150,0.18,way/161961134,150000,OSM-overpass
TRM-JMB-0095,500 kV,500.0,500,0.16,way/161961135,500000,OSM-overpass
TRM-JMB-0096,150 kV,150.0,150,0.196,way/161961136,150000,OSM-overpass
TRM-JMB-0097,150 kV,150.0,150,0.157,way/161963228,150000,OSM-overpass
TRM-JMB-0098,150 kV,150.0,150,0.142,way/161963230,150000,OSM-overpass
TRM-JMB-0099,150 kV,150.0,150,0.054,way/161963341,150000,OSM-overpass
TRM-JMB-0100,150 kV,150.0,150,0.028,way/161963344,150000,OSM-overpass
TRM-JMB-0101,150 kV,150.0,150,0.052,way/161963345,150000,OSM-overpass
TRM-JMB-0102,150 kV,150.0,150,0.054,way/161963346,150000,OSM-overpass
TRM-JMB-0103,150 kV,150.0,150,0.029,way/161963347,150000,OSM-overpass
TRM-JMB-0104,150 kV,150.0,150,0.099,way/161963349,150000,OSM-overpass
TRM-JMB-0105,150 kV,150.0,150,0.099,way/161963350,150000,OSM-overpass
TRM-JMB-0106,150 kV,150.0,150,11.928,way/161965851,150000,OSM-overpass
TRM-JMB-0107,150 kV,150.0,150,21.174,way/161965855,150000,OSM-overpass
TRM-JMB-0108,150 kV,150.0,150,4.287,way/161969959,150000,OSM-overpass
TRM-JMB-0109,150 kV,150.0,150,0.083,way/161969960,150000,OSM-overpass
TRM-JMB-0110,150 kV,150.0,150,0.08,way/161969961,150000,OSM-overpass
TRM-JMB-0111,500 kV,500.0,500,0.251,way/161969963,500000,OSM-overpass
TRM-JMB-0112,150 kV,150.0,150,0.05,way/161969964,150000,OSM-overpass
TRM-JMB-0113,500 kV,500.0,500,0.789,way/161969965,500000,OSM-overpass
TRM-JMB-0114,500 kV,500.0,500,0.25,way/161969966,500000,OSM-overpass
TRM-JMB-0115,150 kV,150.0,150,0.052,way/161969968,150000,OSM-overpass
TRM-JMB-0116,150 kV,150.0,150,0.048,way/161969971,150000,OSM-overpass
TRM-JMB-0117,150 kV,150.0,150,0.078,way/161973828,150000,OSM-overpass
TRM-JMB-0118,150 kV,150.0,150,0.075,way/161973830,150000,OSM-overpass
TRM-JMB-0119,150 kV,150.0,150,0.076,way/161973832,150000,OSM-overpass
TRM-JMB-0120,150 kV,150.0,150,11.219,way/161973834,150000,OSM-overpass
TRM-JMB-0121,150 kV,150.0,150,0.074,way/161973835,150000,OSM-overpass
TRM-JMB-0122,150 kV,150.0,150,0.078,way/161973836,150000,OSM-overpass
TRM-JMB-0123,150 kV,150.0,150,0.075,way/161973837,150000,OSM-overpass
TRM-JMB-0124,500 kV,500.0,500,61.381,way/161973838,500000,OSM-overpass
TRM-JMB-0125,150 kV,150.0,150,0.074,way/161973839,150000,OSM-overpass
TRM-JMB-0126,150 kV,150.0,150,0.24,way/161973841,150000,OSM-overpass
TRM-JMB-0127,150 kV,150.0,150,0.082,way/161973842,150000,OSM-overpass
TRM-JMB-0128,150 kV,150.0,150,0.24,way/161973843,150000,OSM-overpass
TRM-JMB-0129,150 kV,150.0,150,0.078,way/161973844,150000,OSM-overpass
TRM-JMB-0130,150 kV,150.0,150,0.089,way/161975546,150000,OSM-overpass
TRM-JMB-0131,150 kV,150.0,150,0.943,way/161975547,150000,OSM-overpass
TRM-JMB-0132,150 kV,150.0,150,0.291,way/161975548,150000,OSM-overpass
TRM-JMB-0133,150 kV,150.0,150,0.088,way/161975550,150000,OSM-overpass
TRM-JMB-0134,150 kV,150.0,150,1.683,way/161975551,150000,OSM-overpass
TRM-JMB-0135,500 kV,500.0,500,0.478,way/161975749,500000,OSM-overpass
TRM-JMB-0136,150 kV,150.0,150,15.235,way/161977024,150000,OSM-overpass
TRM-JMB-0137,150 kV,150.0,150,14.34,way/161980508,150000,OSM-overpass
TRM-JMB-0138,150 kV,150.0,150,0.044,way/161980509,150000,OSM-overpass
TRM-JMB-0139,150 kV,150.0,150,0.093,way/161980510,150000,OSM-overpass
TRM-JMB-0140,150 kV,150.0,150,27.139,way/161980512,150000,OSM-overpass
TRM-JMB-0141,150 kV,150.0,150,0.122,way/161980514,150000,OSM-overpass
TRM-JMB-0142,150 kV,150.0,150,0.095,way/161980515,150000,OSM-overpass
TRM-JMB-0143,150 kV,150.0,150,0.098,way/161980517,150000,OSM-overpass
TRM-JMB-0144,150 kV,150.0,150,0.04,way/161980519,150000,OSM-overpass
TRM-JMB-0145,150 kV,150.0,150,0.126,way/161980520,150000,OSM-overpass
TRM-JMB-0146,150 kV,150.0,150,1.779,way/161980521,150000,OSM-overpass
TRM-JMB-0147,150 kV,150.0,150,3.959,way/162002074,150000,OSM-overpass
TRM-JMB-0148,150 kV,150.0,150,0.072,way/162025089,150000,OSM-overpass
TRM-JMB-0149,150 kV,150.0,150,0.082,way/162025090,150000,OSM-overpass
TRM-JMB-0150,150 kV,150.0,150,0.084,way/162025091,150000,OSM-overpass
TRM-JMB-0151,150 kV,150.0,150,0.076,way/162025098,150000,OSM-overpass
TRM-JMB-0152,150 kV,150.0,150,0.07,way/162025099,150000,OSM-overpass
TRM-JMB-0153,150 kV,150.0,150,0.031,way/162026557,150000,OSM-overpass
TRM-JMB-0154,150 kV,150.0,150,0.03,way/162026567,150000,OSM-overpass
TRM-JMB-0155,150 kV,150.0,150,0.067,way/162030132,150000,OSM-overpass
