id,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-KLM-0001,Mahakam,150 kV,150.0,150,57.661,way/169280831,150000,OSM-overpass
TRM-KLM-0002,Khatulistiwa,275 kV,275.0,275,127.921,way/562061280,275000,OSM-overpass
TRM-KLM-0003,Khatulistiwa,150 kV,150.0,150,69.519,way/563096961,150000,OSM-overpass
TRM-KLM-0004,Khatulistiwa,150 kV,150.0,150,95.87,way/563096962,150000,OSM-overpass
TRM-KLM-0005,Khatulistiwa,150 kV,150.0,150,16.615,way/563122291,150000,OSM-overpass
TRM-KLM-0006,Khatulistiwa,150 kV,150.0,150,42.939,way/563237597,150000,OSM-overpass
TRM-KLM-0007,Khatulistiwa,150 kV,150.0,150,99.358,way/563399564,150000,OSM-overpass
TRM-KLM-0008,Khatulistiwa,150 kV,150.0,150,18.084,way/563399565,150000,OSM-overpass
TRM-KLM-0009,Khatulistiwa,150 kV,150.0,150,55.967,way/563399567,150000,OSM-overpass
TRM-KLM-0010,Khatulistiwa,150 kV,150.0,150,0.082,way/563399570,150000,OSM-overpass
TRM-KLM-0011,Khatulistiwa,150 kV,150.0,150,0.117,way/563399571,150000,OSM-overpass
TRM-KLM-0012,Khatulistiwa,150 kV,150.0,150,7.769,way/563399573,150000,OSM-overpass
TRM-KLM-0013,Khatulistiwa,150 kV,150.0,150,12.507,way/563399574,150000,OSM-overpass
TRM-KLM-0014,Khatulistiwa,150 kV,150.0,150,58.422,way/563399575,150000,OSM-overpass
TRM-KLM-0015,Mahakam,150 kV,150.0,150,8.075,way/609209383,150000,OSM-overpass
TRM-KLM-0016,Mahakam,150 kV,150.0,150,8.646,way/609209386,150000,OSM-overpass
TRM-KLM-0017,Mahakam,150 kV,150.0,150,10.667,way/609209388,150000,OSM-overpass
TRM-KLM-0018,Kalselteng,150 kV,150.0,150,84.751,way/611547066,150000,OSM-overpass
TRM-KLM-0019,Kalselteng,150 kV,150.0,150,18.308,way/611547071,150000,OSM-overpass
TRM-KLM-0020,Kalselteng,150 kV,150.0,150,2.694,way/611647730,150000,OSM-overpass
TRM-KLM-0021,Kalselteng,150 kV,150.0,150,2.74,way/611647736,150000,OSM-overpass
TRM-KLM-0022,Kalselteng,150 kV,150.0,150,75.612,way/611647737,150000,OSM-overpass
TRM-KLM-0023,Kalselteng,150 kV,150.0,150,92.289,way/611647738,150000,OSM-overpass
TRM-KLM-0024,Mahakam,150 kV,150.0,150,0.074,way/612348763,150000,OSM-overpass
TRM-KLM-0025,Kalselteng,150 kV,150.0,150,57.126,way/612650467,150000,OSM-overpass
TRM-KLM-0026,Kalselteng,150 kV,150.0,150,30.726,way/612650469,150000,OSM-overpass
TRM-KLM-0027,Kalselteng,150 kV,150.0,150,1.658,way/613094693,150000,OSM-overpass
TRM-KLM-0028,Kalselteng,150 kV,150.0,150,26.219,way/613098762,150000,OSM-overpass
TRM-KLM-0029,Kalselteng,150 kV,150.0,150,1.985,way/613865137,150000,OSM-overpass
TRM-KLM-0030,Kalselteng,150 kV,150.0,150,104.172,way/613865138,150000,OSM-overpass
TRM-KLM-0031,Kalselteng,150 kV,150.0,150,0.738,way/613865140,150000,OSM-overpass
TRM-KLM-0032,Kalselteng,150 kV,150.0,150,63.648,way/613982403,150000,OSM-overpass
TRM-KLM-0033,Kalselteng,150 kV,150.0,150,118.083,way/614102421,150000,OSM-overpass
TRM-KLM-0034,Khatulistiwa,150 kV,150.0,150,0.427,way/691239959,150000,OSM-overpass
TRM-KLM-0035,Khatulistiwa,150 kV,150.0,150,1.237,way/691239960,150000,OSM-overpass
TRM-KLM-0036,Khatulistiwa,150 kV,150.0,150,0.032,way/691239962,150000,OSM-overpass
TRM-KLM-0037,Khatulistiwa,150 kV,150.0,150,0.056,way/691239963,150000,OSM-overpass
TRM-KLM-0038,Khatulistiwa,150 kV,150.0,150,3.153,way/691239964,150000,OSM-overpass
TRM-KLM-0039,Khatulistiwa,150 kV,150.0,150,22.051,way/691239968,150000,OSM-overpass
TRM-KLM-0040,Khatulistiwa,150 kV,150.0,150,46.765,way/691239969,150000,OSM-overpass
TRM-KLM-0041,Khatulistiwa,150 kV,150.0,150,1.386,way/691239970,150000,OSM-overpass
TRM-KLM-0042,Kalselteng,70 kV,70.0,70,31.707,way/720933386,70000,OSM-overpass
TRM-KLM-0043,Kalselteng,150 kV,150.0,150,10.657,way/720933388,150000,OSM-overpass
TRM-KLM-0044,Mahakam,150 kV,150.0,150,0.049,way/756074041,150000,OSM-overpass
TRM-KLM-0045,Mahakam,150 kV,150.0,150,0.063,way/756074042,150000,OSM-overpass
TRM-KLM-0046,Kalselteng,150 kV,150.0,150,0.75,way/756074044,150000,OSM-overpass
TRM-KLM-0047,Kalselteng,150 kV,150.0,150,0.368,way/756074046,150000,OSM-overpass
TRM-KLM-0048,Kalselteng,150 kV,150.0,150,0.041,way/756074047,150000,OSM-overpass
TRM-KLM-0049,Kalselteng,150 kV,150.0,150,0.066,way/756074049,150000,OSM-overpass
TRM-KLM-0050,Kalselteng,150 kV,150.0,150,62.622,way/756074050,150000,OSM-overpass
TRM-KLM-0051,Kalselteng,150 kV,150.0,150,0.577,way/756074051,150000,OSM-overpass
TRM-KLM-0052,Kalselteng,150 kV,150.0,150,0.029,way/756074052,150000,OSM-overpass
TRM-KLM-0053,Kalselteng,150 kV,150.0,150,38.904,way/756074053,150000,OSM-overpass
TRM-KLM-0054,Kalselteng,150 kV,150.0,150,41.273,way/756074054,150000,OSM-overpass
TRM-KLM-0055,Kalselteng,150 kV,150.0,150,81.289,way/756074055,150000,OSM-overpass
TRM-KLM-0056,Kalselteng,150 kV,150.0,150,0.022,way/756074056,150000,OSM-overpass
TRM-KLM-0057,Kalselteng,150 kV,150.0,150,0.118,way/756074057,150000,OSM-overpass
TRM-KLM-0058,Kalselteng,150 kV,150.0,150,0.045,way/756074058,150000,OSM-overpass
TRM-KLM-0059,Kalselteng,150 kV,150.0,150;20,0.052,way/756074060,150000;20000,OSM-overpass
TRM-KLM-0060,Kalselteng,150 kV,150.0,150,5.328,way/756074062,150000,OSM-overpass
TRM-KLM-0061,Kalselteng,150 kV,150.0,150,0.048,way/756074063,150000,OSM-overpass
TRM-KLM-0062,Kalselteng,150 kV,150.0,150,0.086,way/756074064,150000,OSM-overpass
TRM-KLM-0063,Kalselteng,150 kV,150.0,150,0.048,way/756074065,150000,OSM-overpass
TRM-KLM-0064,Kalselteng,150 kV,150.0,150,15.209,way/756074066,150000,OSM-overpass
TRM-KLM-0065,Kalselteng,150 kV,150.0,150,0.127,way/756074067,150000,OSM-overpass
TRM-KLM-0066,Kalselteng,150 kV,150.0,150,0.07,way/756074068,150000,OSM-overpass
TRM-KLM-0067,Kalselteng,150 kV,150.0,150,0.41,way/756074069,150000,OSM-overpass
TRM-KLM-0068,Kalselteng,150 kV,150.0,150,0.069,way/756074070,150000,OSM-overpass
TRM-KLM-0069,Kalselteng,150 kV,150.0,150,19.14,way/756074072,150000,OSM-overpass
TRM-KLM-0070,Kalselteng,70 kV,70.0,70,19.059,way/756074073,70000,OSM-overpass
TRM-KLM-0071,Kalselteng,150 kV,150.0,150,60.515,way/756074076,150000,OSM-overpass
TRM-KLM-0072,Kalselteng,150 kV,150.0,150,36.276,way/756074077,150000,OSM-overpass
TRM-KLM-0073,Kalselteng,150 kV,150.0,150,0.079,way/756074078,150000,OSM-overpass
TRM-KLM-0074,Kalselteng,150 kV,150.0,150,0.05,way/756074079,150000,OSM-overpass
