id,province,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-MLK-0001,Maluku,Maluku,150 kV,150.0,150,12.186,way/611723634,150000,OSM-overpass
TRM-MLK-0002,Maluku,Maluku,150 kV,150.0,150,13.045,way/949578853,150000,OSM-overpass
TRM-MLK-0003,Maluku,Maluku,150 kV,150.0,150,13.763,way/949578854,150000,OSM-overpass
TRM-MLK-0004,Maluku Utara,Maluku,150 kV,150.0,150,7.699,way/951367600,150000,OSM-overpass
TRM-MLK-0005,Maluku,Maluku,150 kV,150.0,150,0.044,way/1225171160,150000,OSM-overpass
TRM-MLK-0006,Maluku,Maluku,150 kV,150.0,150,0.045,way/1225171161,150000,OSM-overpass
TRM-MLK-0007,Maluku,Maluku,150 kV,150.0,150,0.028,way/1225171162,150000,OSM-overpass
TRM-MLK-0008,Maluku,Maluku,150 kV,150.0,150,0.029,way/1225171163,150000,OSM-overpass
TRM-MLK-0009,Maluku,Maluku,150 kV,150.0,150,0.077,way/1225171164,150000,OSM-overpass
TRM-MLK-0010,Maluku,Maluku,150 kV,150.0,150,0.076,way/1225171165,150000,OSM-overpass
TRM-MLK-0011,Maluku,Maluku,150 kV,150.0,150,0.028,way/1225171166,150000,OSM-overpass
TRM-MLK-0012,Maluku,Maluku,150 kV,150.0,150,0.025,way/1225171167,150000,OSM-overpass
TRM-MLK-0013,Maluku,Maluku,150 kV,150.0,150,0.036,way/1225171168,150000,OSM-overpass
TRM-MLK-0014,Maluku,Maluku,150 kV,150.0,150,0.036,way/1225171169,150000,OSM-overpass
TRM-MLK-0015,Maluku,Maluku,70 kV,70.0,70,0.026,way/1313305447,70000,OSM-overpass
TRM-MLK-0016,Maluku,Maluku,70 kV,70.0,70,0.027,way/1313305448,70000,OSM-overpass
TRM-MLK-0017,Maluku,Maluku,70 kV,70.0,70,47.316,way/1313305450,70000,OSM-overpass
TRM-MLK-0018,Maluku,Maluku,70 kV,70.0,70,21.444,way/1313305451,70000,OSM-overpass
TRM-MLK-0019,Maluku,Maluku,150 kV,150.0,150,0.02,way/1313323063,150000,OSM-overpass
TRM-MLK-0020,Maluku,Maluku,150 kV,150.0,150,0.019,way/1313323064,150000,OSM-overpass
TRM-MLK-0021,Maluku,Maluku,150 kV,150.0,150,54.419,way/1313323066,150000,OSM-overpass
TRM-MLK-0022,Maluku,Maluku,150 kV,150.0,150,3.697,way/1313323067,150000,OSM-overpass
TRM-MLK-0023,Maluku,Maluku,150 kV,150.0,150,1.567,way/1313323068,150000,OSM-overpass
TRM-MLK-0024,Maluku,Maluku,150 kV,150.0,150,11.392,way/1313323069,150000,OSM-overpass
TRM-MLK-0025,Maluku,Maluku,150 kV,150.0,150,0.687,way/1313323070,150000,OSM-overpass
TRM-MLK-0026,Maluku,Maluku,150 kV,150.0,150,12.892,way/1313323071,150000,OSM-overpass
