id,province,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-NTB-0001,Nusa Tenggara Barat,NTB,150 kV,150.0,150,17.788,way/329341484,150000,OSM-overpass
TRM-NTB-0002,Nusa Tenggara Barat,NTB,150 kV,150.0,150,14.699,way/614195172,150000,OSM-overpass
TRM-NTB-0003,Nusa Tenggara Barat,NTB,150 kV,150.0,150,7.119,way/614195175,150000,OSM-overpass
TRM-NTB-0004,Nusa Tenggara Barat,NTB,150 kV,150.0,150,34.93,way/614195179,150000,OSM-overpass
TRM-NTB-0005,Nusa Tenggara Barat,NTB,150 kV,150.0,150,39.07,way/614625440,150000,OSM-overpass
TRM-NTB-0006,Nusa Tenggara Barat,NTB,150 kV,150.0,150,1.368,way/614625441,150000,OSM-overpass
TRM-NTB-0007,Nusa Tenggara Barat,NTB,150 kV,150.0,150,26.143,way/614635875,150000,OSM-overpass
TRM-NTB-0008,Nusa Tenggara Barat,NTB,150 kV,150.0,150,33.639,way/630346983,150000,OSM-overpass
TRM-NTB-0009,Nusa Tenggara Barat,NTB,70 kV,70.0,70,29.9,way/707043777,70000,OSM-overpass
TRM-NTB-0010,Nusa Tenggara Barat,NTB,70 kV,70.0,70,5.669,way/707043780,70000,OSM-overpass
TRM-NTB-0011,Nusa Tenggara Barat,NTB,70 kV,70.0,70,71.926,way/707531065,70000,OSM-overpass
TRM-NTB-0012,Nusa Tenggara Barat,NTB,150 kV,150.0,150,15.427,way/707531066,150000,OSM-overpass
TRM-NTB-0013,Nusa Tenggara Barat,NTB,150 kV,150.0,150,79.311,way/707531068,150000,OSM-overpass
TRM-NTB-0014,Nusa Tenggara Barat,NTB,150 kV,150.0,150,31.071,way/707533368,150000,OSM-overpass
TRM-NTB-0015,Nusa Tenggara Barat,NTB,70 kV,70.0,70,0.149,way/707533372,70000,OSM-overpass
TRM-NTB-0016,Nusa Tenggara Barat,NTB,150 kV,150.0,150,77.352,way/707533373,150000,OSM-overpass
TRM-NTB-0017,Nusa Tenggara Barat,NTB,70 kV,70.0,70,50.591,way/707533374,70000,OSM-overpass
TRM-NTB-0018,Nusa Tenggara Barat,NTB,150 kV,150.0,150,0.031,way/929160632,150000,OSM-overpass
TRM-NTB-0019,Nusa Tenggara Barat,NTB,150 kV,150.0,150,17.385,way/929160633,150000,OSM-overpass
TRM-NTB-0020,Nusa Tenggara Barat,NTB,150 kV,150.0,150,11.839,way/929160634,150000,OSM-overpass
TRM-NTB-0021,Nusa Tenggara Barat,NTB,150 kV,150.0,150,46.401,way/929160636,150000,OSM-overpass
TRM-NTB-0022,Nusa Tenggara Barat,NTB,150 kV,150.0,150,13.026,way/929160640,150000,OSM-overpass
TRM-NTB-0023,Nusa Tenggara Barat,NTB,70 kV,70.0,70,11.006,way/937059858,70000,OSM-overpass
TRM-NTB-0024,Nusa Tenggara Barat,NTB,150 kV,150.0,150,3.125,way/1320144714,150000,OSM-overpass
TRM-NTB-0025,Nusa Tenggara Barat,NTB,150 kV,150.0,150,0.131,way/1320144724,150000,OSM-overpass
TRM-NTB-0026,Nusa Tenggara Barat,NTB,150 kV,150.0,150,0.127,way/1320144725,150000,OSM-overpass
TRM-NTB-0027,Nusa Tenggara Barat,NTB,150 kV,150.0,150,0.208,way/1320144726,150000,OSM-overpass
TRM-NTB-0028,Nusa Tenggara Barat,NTB,150 kV,150.0,150,0.209,way/1320144727,150000,OSM-overpass
TRM-NTB-0029,Nusa Tenggara Barat,NTB,150 kV,150.0,150,14.813,way/1320144728,150000,OSM-overpass
TRM-NTB-0030,Nusa Tenggara Barat,NTB,150 kV,150.0,150,0.031,way/1411184738,150000,OSM-overpass
TRM-NTB-0031,Nusa Tenggara Barat,NTB,150 kV,150.0,150,0.034,way/1411184739,150000,OSM-overpass
