id,province,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-NTT-0001,Nusa Tenggara Timur,NTT,70 kV,70.0,70,35.863,way/611789536,70000,OSM-overpass
TRM-NTT-0002,Nusa Tenggara Timur,NTT,70 kV,70.0,70,75.394,way/611789539,70000,OSM-overpass
TRM-NTT-0003,Nusa Tenggara Timur,NTT,70 kV,70.0,70,44.494,way/614243447,70000,OSM-overpass
TRM-NTT-0004,Nusa Tenggara Timur,NTT,70 kV,70.0,70,109.191,way/614243450,70000,OSM-overpass
TRM-NTT-0005,Nusa Tenggara Timur,NTT,70 kV,70.0,70,58.982,way/614243451,70000,OSM-overpass
TRM-NTT-0006,Nusa Tenggara Timur,NTT,150 kV,150.0,150,10.885,way/716898230,150000,OSM-overpass
TRM-NTT-0007,Nusa Tenggara Timur,NTT,70 kV,70.0,70,62.101,way/927818011,70000,OSM-overpass
TRM-NTT-0008,Nusa Tenggara Timur,NTT,70 kV,70.0,70,14.418,way/927818012,70000,OSM-overpass
TRM-NTT-0009,Nusa Tenggara Timur,NTT,70 kV,70.0,70,12.738,way/927818014,70000,OSM-overpass
TRM-NTT-0010,Nusa Tenggara Timur,NTT,70 kV,70.0,70,45.113,way/927818015,70000,OSM-overpass
TRM-NTT-0011,Nusa Tenggara Timur,NTT,150 kV,150.0,150,25.595,way/937059860,150000,OSM-overpass
TRM-NTT-0012,Nusa Tenggara Timur,NTT,70 kV,70.0,70,75.562,way/937059864,70000,OSM-overpass
TRM-NTT-0013,Nusa Tenggara Timur,NTT,70 kV,70.0,70,1.008,way/937059870,70000,OSM-overpass
TRM-NTT-0014,Nusa Tenggara Timur,NTT,70 kV,70.0,70,22.691,way/937059871,70000,OSM-overpass
TRM-NTT-0015,Nusa Tenggara Timur,NTT,70 kV,70.0,70,89.028,way/937059872,70000,OSM-overpass
TRM-NTT-0016,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.048,way/1198315793,150000,OSM-overpass
TRM-NTT-0017,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.079,way/1198315794,150000,OSM-overpass
TRM-NTT-0018,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.081,way/1198315795,150000,OSM-overpass
TRM-NTT-0019,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.066,way/1198315796,150000,OSM-overpass
TRM-NTT-0020,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.066,way/1198315797,150000,OSM-overpass
TRM-NTT-0021,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.039,way/1198315798,150000,OSM-overpass
TRM-NTT-0022,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.038,way/1198315799,150000,OSM-overpass
TRM-NTT-0023,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.038,way/1198315800,150000,OSM-overpass
TRM-NTT-0024,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.038,way/1198315801,150000,OSM-overpass
TRM-NTT-0025,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.033,way/1198315803,150000,OSM-overpass
TRM-NTT-0026,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.032,way/1198315804,150000,OSM-overpass
TRM-NTT-0027,Nusa Tenggara Timur,NTT,150 kV,150.0,150,9.671,way/1198315806,150000,OSM-overpass
TRM-NTT-0028,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.034,way/1198318886,150000,OSM-overpass
TRM-NTT-0029,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.033,way/1198318887,150000,OSM-overpass
TRM-NTT-0030,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.044,way/1198318888,150000,OSM-overpass
TRM-NTT-0031,Nusa Tenggara Timur,NTT,150 kV,150.0,150,0.045,way/1198318889,150000,OSM-overpass
