id,province,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-PAP-0001,Papua,Papua,150 kV,230.0,230,57.671,way/544403432,230000,OSM-overpass
TRM-PAP-0002,Papua,Papua,150 kV,150.0,150,21.562,way/611223232,150000,OSM-overpass
TRM-PAP-0003,Papua,Papua,150 kV,230.0,230,26.363,way/614955991,230000,OSM-overpass
TRM-PAP-0004,Papua,Papua,70 kV,70.0,70,87.255,way/692489062,70000,OSM-overpass
TRM-PAP-0005,Papua,Papua,70 kV,70.0,70,0.057,way/692489063,70000,OSM-overpass
TRM-PAP-0006,Papua,Papua,150 kV,230.0,230,2.638,way/759130126,230000,OSM-overpass
TRM-PAP-0007,Papua,Papua,150 kV,230.0,230,0.466,way/759132557,230000,OSM-overpass
TRM-PAP-0008,Papua,Papua,150 kV,230.0,230,0.316,way/759132558,230000,OSM-overpass
TRM-PAP-0009,Papua,Papua,150 kV,230.0,230,0.151,way/759132559,230000,OSM-overpass
TRM-PAP-0010,Papua Barat,Papua,150 kV,150.0,150,11.634,way/940979315,150000,OSM-overpass
TRM-PAP-0011,Papua Barat,Papua,150 kV,150.0,150,0.054,way/940979319,150000,OSM-overpass
TRM-PAP-0012,Papua Barat,Papua,150 kV,150.0,150,15.27,way/940979320,150000,OSM-overpass
TRM-PAP-0013,Papua Barat,Papua,150 kV,150.0,150,13.577,way/940979322,150000,OSM-overpass
TRM-PAP-0014,Papua,Papua,150 kV,150.0,150,13.173,way/1121717382,150000,OSM-overpass
TRM-PAP-0015,Papua,Papua,150 kV,150.0,150,9.353,way/1121717383,150000,OSM-overpass
TRM-PAP-0016,Papua,Papua,150 kV,150.0,150,0.639,way/1174290526,150000,OSM-overpass
TRM-PAP-0017,Papua,Papua,150 kV,230.0,230,0.215,way/1191851333,230000,OSM-overpass
TRM-PAP-0018,Papua,Papua,150 kV,230.0,230,0.215,way/1191851334,230000,OSM-overpass
TRM-PAP-0019,Papua,Papua,150 kV,230.0,230,7.198,way/1191851336,230000,OSM-overpass
TRM-PAP-0020,Papua,Papua,150 kV,230.0,230,0.47,way/1191851337,230000,OSM-overpass
TRM-PAP-0021,Papua,Papua,150 kV,230.0,230,0.429,way/1191851338,230000,OSM-overpass
TRM-PAP-0022,Papua,Papua,150 kV,230.0,230,6.706,way/1191851339,230000,OSM-overpass
TRM-PAP-0023,Papua,Papua,150 kV,150.0,150,0.03,way/1191857161,150000,OSM-overpass
TRM-PAP-0024,Papua,Papua,150 kV,150.0,150,0.03,way/1191857162,150000,OSM-overpass
TRM-PAP-0025,Papua,Papua,70 kV,70.0,70,0.031,way/1191857163,70000,OSM-overpass
TRM-PAP-0026,Papua,Papua,70 kV,70.0,70,0.036,way/1191857164,70000,OSM-overpass
TRM-PAP-0027,Papua,Papua,150 kV,150.0,150,0.079,way/1191857165,150000,OSM-overpass
TRM-PAP-0028,Papua,Papua,150 kV,150.0,150,0.078,way/1191857166,150000,OSM-overpass
TRM-PAP-0029,Papua,Papua,70 kV,70.0,70,0.1,way/1191857167,70000,OSM-overpass
TRM-PAP-0030,Papua,Papua,70 kV,70.0,70,0.101,way/1191857168,70000,OSM-overpass
TRM-PAP-0031,Papua,Papua,70 kV,70.0,70,0.058,way/1191857170,70000,OSM-overpass
TRM-PAP-0032,Papua,Papua,70 kV,70.0,70,0.048,way/1191857173,70000,OSM-overpass
TRM-PAP-0033,Papua,Papua,70 kV,70.0,70,0.049,way/1191857174,70000,OSM-overpass
TRM-PAP-0034,Papua Barat,Papua,150 kV,150.0,150,0.033,way/1313567932,150000,OSM-overpass
TRM-PAP-0035,Papua Barat,Papua,150 kV,150.0,150,0.035,way/1313567933,150000,OSM-overpass
TRM-PAP-0036,Papua Barat,Papua,150 kV,150.0,150,8.814,way/1313567934,150000,OSM-overpass
