id,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-SLW-0001,Sulutgo,70 kV,70.0,70,31.292,way/101696480,70000,OSM-overpass
TRM-SLW-0002,Sulutgo,70 kV,70.0,70,28.608,way/101725466,70000,OSM-overpass
TRM-SLW-0003,Sulselrabar,150 kV,150.0,150,27.319,way/116023449,150000,OSM-overpass
TRM-SLW-0004,Sulutgo,150 kV,150.0,150,56.653,way/154981807,150000,OSM-overpass
TRM-SLW-0005,Sulutgo,150 kV,150.0,150,88.312,way/155874646,150000,OSM-overpass
TRM-SLW-0006,Sulteng,70 kV,70.0,70,33.349,way/167062124,70000,OSM-overpass
TRM-SLW-0007,Sulselrabar,150 kV,150.0,150,43.624,way/221686629,150000,OSM-overpass
TRM-SLW-0008,Sulselrabar,70 kV,70.0,70,3.532,way/244815717,70000,OSM-overpass
TRM-SLW-0009,Sulselrabar,70 kV,70.0,70,13.576,way/244815738,70000,OSM-overpass
TRM-SLW-0010,Sulselrabar,150 kV,150.0,150,10.875,way/244912344,150000,OSM-overpass
TRM-SLW-0011,Sulselrabar,70 kV,70.0,70,23.769,way/244912347,70000,OSM-overpass
TRM-SLW-0012,Sulselrabar,150 kV,150.0,150,116.551,way/244912348,150000,OSM-overpass
TRM-SLW-0013,Sulselrabar,150 kV,150.0,150,20.531,way/244912351,150000,OSM-overpass
TRM-SLW-0014,Sulselrabar,70 kV,70.0,70,15.153,way/244913280,70000,OSM-overpass
TRM-SLW-0015,Sulselrabar,150 kV,150.0,150,16.25,way/244913281,150000,OSM-overpass
TRM-SLW-0016,Sulselrabar,150 kV,150.0,150,5.977,way/245576459,150000,OSM-overpass
TRM-SLW-0017,Sulselrabar,150 kV,150.0,150,73.949,way/248953892,150000,OSM-overpass
TRM-SLW-0018,Sulselrabar,150 kV,150.0,150,43.433,way/248953897,150000,OSM-overpass
TRM-SLW-0019,Sulselrabar,150 kV,150.0,150,4.501,way/250105512,150000,OSM-overpass
TRM-SLW-0020,Sulselrabar,150 kV,150.0,150,38.144,way/250105513,150000,OSM-overpass
TRM-SLW-0021,Sulselrabar,150 kV,150.0,150,35.344,way/255359324,150000,OSM-overpass
TRM-SLW-0022,Sulselrabar,150 kV,150.0,150,59.132,way/255366726,150000,OSM-overpass
