id,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-SMT-0001,Sumatra,150 kV,150.0,150,44.385,way/234372890,150000,OSM-overpass
TRM-SMT-0002,Sumatra,150 kV,150.0,150,5.322,way/238273003,150000,OSM-overpass
TRM-SMT-0003,Sumatra,275 kV,275.0,275,113.098,way/239051092,275000,OSM-overpass
TRM-SMT-0004,Sumatra,150 kV,150.0,150,40.398,way/246972430,150000,OSM-overpass
TRM-SMT-0005,Sumatra,150 kV,150.0,150,81.498,way/246972432,150000,OSM-overpass
TRM-SMT-0006,Sumatra,150 kV,150.0,150,13.987,way/249207413,150000,OSM-overpass
TRM-SMT-0007,Sumatra,150 kV,150.0,150,0.203,way/276731729,150000,OSM-overpass
TRM-SMT-0008,Sumatra,150 kV,150.0,150,21.277,way/276990479,150000,OSM-overpass
TRM-SMT-0009,Sumatra,150 kV,150.0,150,11.9,way/276990480,150000,OSM-overpass
TRM-SMT-0010,Sumatra,150 kV,150.0,150,13.903,way/276990482,150000,OSM-overpass
TRM-SMT-0011,Sumatra,150 kV,150.0,150,7.33,way/277204253,150000,OSM-overpass
TRM-SMT-0012,Sumatra,150 kV,150.0,150,17.356,way/277204254,150000,OSM-overpass
TRM-SMT-0013,Sumatra,150 kV,150.0,150,8.946,way/277204255,150000,OSM-overpass
TRM-SMT-0014,Sumatra,150 kV,150.0,150,29.508,way/277204256,150000,OSM-overpass
TRM-SMT-0015,Sumatra,150 kV,150.0,150,19.126,way/277204259,150000,OSM-overpass
TRM-SMT-0016,Sumatra,150 kV,150.0,150,23.676,way/277204267,150000,OSM-overpass
TRM-SMT-0017,Sumatra,150 kV,150.0,150,3.113,way/277204268,150000,OSM-overpass
TRM-SMT-0018,Sumatra,150 kV,150.0,150,2.813,way/277204270,150000,OSM-overpass
TRM-SMT-0019,Sumatra,150 kV,150.0,150,24.778,way/277533477,150000,OSM-overpass
TRM-SMT-0020,Sumatra,275 kV,275.0,275,0.295,way/310695692,275000,OSM-overpass
TRM-SMT-0021,Sumatra,150 kV,150.0,150,0.061,way/310984534,150000,OSM-overpass
TRM-SMT-0022,Sumatra,150 kV,150.0,150,28.791,way/329719286,150000,OSM-overpass
TRM-SMT-0023,Sumatra,150 kV,150.0,150,5.926,way/329730418,150000,OSM-overpass
TRM-SMT-0024,Sumatra,150 kV,150.0,150,35.4,way/329730419,150000,OSM-overpass
TRM-SMT-0025,Sumatra,150 kV,150.0,150,0.11,way/329730423,150000,OSM-overpass
TRM-SMT-0026,Sumatra,150 kV,150.0,150,61.542,way/330191161,150000,OSM-overpass
TRM-SMT-0027,Sumatra,275 kV,275.0,275,61.613,way/330259124,275000,OSM-overpass
TRM-SMT-0028,Sumatra,150 kV,150.0,150,0.045,way/330762622,150000,OSM-overpass
TRM-SMT-0029,Sumatra,150 kV,150.0,150,0.048,way/330762624,150000,OSM-overpass
TRM-SMT-0030,Sumatra,150 kV,150.0,150,2.17,way/330762625,150000,OSM-overpass
TRM-SMT-0031,Sumatra,150 kV,150.0,150,0.139,way/330829515,150000,OSM-overpass
TRM-SMT-0032,Sumatra,150 kV,150.0,150,49.615,way/330829517,150000,OSM-overpass
TRM-SMT-0033,Sumatra,150 kV,150.0,150,0.059,way/330829521,150000,OSM-overpass
TRM-SMT-0034,Sumatra,150 kV,150.0,150,70.508,way/331106604,150000,OSM-overpass
TRM-SMT-0035,Sumatra,150 kV,150.0,150,0.071,way/337039385,150000,OSM-overpass
TRM-SMT-0036,Sumatra,150 kV,150.0,150,32.78,way/337039402,150000,OSM-overpass
TRM-SMT-0037,Sumatra,150 kV,150.0,150,49.576,way/337039405,150000,OSM-overpass
TRM-SMT-0038,Sumatra,150 kV,150.0,150,56.92,way/337039416,150000,OSM-overpass
TRM-SMT-0039,Sumatra,275 kV,275.0,275,34.458,way/337039426,275000,OSM-overpass
TRM-SMT-0040,Sumatra,150 kV,150.0,150,0.054,way/337047406,150000,OSM-overpass
TRM-SMT-0041,Sumatra,150 kV,150.0,150,0.059,way/337047407,150000,OSM-overpass
TRM-SMT-0042,Sumatra,150 kV,150.0,150,6.402,way/338675153,150000,OSM-overpass
TRM-SMT-0043,Sumatra,150 kV,150.0,150,26.458,way/338675154,150000,OSM-overpass
TRM-SMT-0044,Sumatra,150 kV,150.0,150,3.999,way/338675156,150000,OSM-overpass
TRM-SMT-0045,Sumatra,150 kV,150.0,150,11.933,way/338675158,150000,OSM-overpass
TRM-SMT-0046,Sumatra,150 kV,150.0,150,34.4,way/340205046,150000,OSM-overpass
TRM-SMT-0047,Sumatra,150 kV,150.0,150,50.802,way/340205047,150000,OSM-overpass
TRM-SMT-0048,Sumatra,275 kV,275.0,275,70.185,way/340205050,275000,OSM-overpass
TRM-SMT-0049,Sumatra,150 kV,150.0,150,17.655,way/340690028,150000,OSM-overpass
TRM-SMT-0050,Sumatra,150 kV,150.0,150,0.047,way/398787867,150000,OSM-overpass
TRM-SMT-0051,Sumatra,150 kV,150.0,150,0.299,way/398787870,150000,OSM-overpass
TRM-SMT-0052,Sumatra,150 kV,150.0,150,0.03,way/398787873,150000,OSM-overpass
TRM-SMT-0053,Sumatra,150 kV,150.0,150,19.495,way/398787879,150000,OSM-overpass
TRM-SMT-0054,Sumatra,150 kV,150.0,150,20.799,way/398787893,150000,OSM-overpass
TRM-SMT-0055,Sumatra,150 kV,150.0,150,52.652,way/509347394,150000,OSM-overpass
TRM-SMT-0056,Sumatra,150 kV,150.0,150,26.392,way/509347395,150000,OSM-overpass
TRM-SMT-0057,Sumatra,150 kV,150.0,150,54.104,way/509347406,150000,OSM-overpass
TRM-SMT-0058,Sumatra,275 kV,275.0,275,59.698,way/519100432,275000,OSM-overpass
TRM-SMT-0059,Sumatra,150 kV,150.0,150,23.045,way/519100436,150000,OSM-overpass
TRM-SMT-0060,Sumatra,150 kV,150.0,150,3.904,way/519390725,150000,OSM-overpass
TRM-SMT-0061,Sumatra,150 kV,150.0,150,16.457,way/519390727,150000,OSM-overpass
TRM-SMT-0062,Sumatra,150 kV,150.0,150,3.446,way/522566054,150000,OSM-overpass
TRM-SMT-0063,Sumatra,275 kV,275.0,275,70.176,way/522566059,275000,OSM-overpass
TRM-SMT-0064,Sumatra,150 kV,150.0,150,78.264,way/522690655,150000,OSM-overpass
TRM-SMT-0065,Sumatra,150 kV,150.0,150,0.058,way/522690658,150000,OSM-overpass
TRM-SMT-0066,Sumatra,275 kV,275.0,275,76.237,way/523326772,275000,OSM-overpass
TRM-SMT-0067,Sumatra,275 kV,275.0,275,0.097,way/523326775,275000,OSM-overpass
TRM-SMT-0068,Sumatra,150 kV,150.0,150,56.13,way/523326776,150000,OSM-overpass
TRM-SMT-0069,Sumatra,275 kV,275.0,275,43.788,way/524993605,275000,OSM-overpass
TRM-SMT-0070,Sumatra,150 kV,150.0,150,0.046,way/527900231,150000,OSM-overpass
TRM-SMT-0071,Sumatra,150 kV,150.0,150,46.68,way/527900233,150000,OSM-overpass
TRM-SMT-0072,Sumatra,150 kV,150.0,150,4.192,way/527900234,150000,OSM-overpass
TRM-SMT-0073,Sumatra,150 kV,150.0,150,4.16,way/527900236,150000,OSM-overpass
TRM-SMT-0074,Sumatra,150 kV,150.0,150,17.887,way/527900237,150000,OSM-overpass
TRM-SMT-0075,Sumatra,150 kV,150.0,150,0.452,way/527900239,150000,OSM-overpass
TRM-SMT-0076,Sumatra,150 kV,150.0,150,29.951,way/528189328,150000,OSM-overpass
TRM-SMT-0077,Sumatra,150 kV,150.0,150,0.657,way/528189334,150000,OSM-overpass
TRM-SMT-0078,Sumatra,275 kV,275.0,275,0.555,way/528189336,275000,OSM-overpass
TRM-SMT-0079,Sumatra,275 kV,275.0,275,195.175,way/528189337,275000,OSM-overpass
TRM-SMT-0080,Sumatra,275 kV,275.0,275,113.761,way/528189345,275000,OSM-overpass
TRM-SMT-0081,Sumatra,150 kV,150.0,150,39.896,way/528461311,150000,OSM-overpass
TRM-SMT-0082,Sumatra,150 kV,150.0,150,8.489,way/528512462,150000,OSM-overpass
TRM-SMT-0083,Sumatra,150 kV,150.0,150,48.216,way/531090230,150000,OSM-overpass
