severity,ruptl_id,from_bus,to_bus,voltage_kv,length_km,straight_km,ratio,action_type,target_cod_year,province,source_page,issues
4,RUPTL-JAMALI-T-0050,Cikupa New,Curug Switching,150,6.0,10.42,0.58,New,2030,Banten,833,"RATIO_TOO_LOW,GENERIC_ENDPOINT"
4,RUPTL-JAMALI-T-0157,Ungaran,Ampel / Tuntang,500,22.0,39.64,0.56,New,2025,Jawa Tengah,885,RATIO_TOO_LOW
3,RUPTL-JAMALI-T-0395,Undaan,Simpang,150,10.0,1.46,6.84,New,2030,Jawa Timur,923,RATIO_TOO_HIGH
3,RUPTL-JAMALI-T-0025,Rasuna Said,Cawang,275,20.0,4.05,4.94,New,2028,Dki Jakarta,820,RATIO_TOO_HIGH
3,RUPTL-JAMALI-T-0209,Tanjung Jati,Rembang,500,340.0,73.38,4.63,New,2033,Jawa Tengah,887,"RATIO_TOO_HIGH,LENGTH_OUTLIER"
3,RUPTL-JAMALI-T-0019,Petukangan,PLTD Senayan,150,19.0,4.25,4.47,New,2027,Dki Jakarta,819,RATIO_TOO_HIGH
3,RUPTL-JAMALI-T-0394,Wonokromo,Kupang,150,16.0,3.83,4.18,New,2030,Jawa Timur,923,RATIO_TOO_HIGH
3,RUPTL-JAMALI-T-0307,Waru,Krian,500,45.0,11.57,3.89,New,2025,Jawa Timur,919,RATIO_TOO_HIGH
3,RUPTL-JAMALI-T-0360,Rungkut,Surabaya Selatan,150,22.0,5.85,3.76,New,2027,Jawa Timur,921,RATIO_TOO_HIGH
3,RUPTL-JAMALI-T-0020,Manggarai,Gedung Pola,150,3.5,1.02,3.44,New,2027,Dki Jakarta,819,RATIO_TOO_HIGH
3,RUPTL-JAMALI-T-0201,Ungaran,Jelok,150,40.0,12.66,3.16,,2030,Jawa Tengah,886,RATIO_TOO_HIGH
3,RUPTL-JAMALI-T-0393,Undaan,Kenjeran,150,10.0,3.18,3.14,New,2030,Jawa Timur,923,RATIO_TOO_HIGH
3,RUPTL-JAMALI-T-0004,Kebon Jeruk,Duri Kosambi,150,20.0,6.61,3.03,New,2025,Dki Jakarta,819,RATIO_TOO_HIGH
3,RUPTL-JAMALI-T-0005,Priok,Muara Tawar,500,30.0,9.96,3.01,New,2025,Dki Jakarta,819,RATIO_TOO_HIGH
3,RUPTL-JAMALI-T-0002,Budi Kemuliaan,Kebon Sirih,150,4.0,1.33,3.0,New,2025,Dki Jakarta,819,RATIO_TOO_HIGH
2,RUPTL-JAMALI-T-0510,Gilimanuk,Antosari (Ekstension),500,151.2,73.61,2.05,New,2030,Bali,946,LENGTH_OUTLIER
2,RUPTL-JAMALI-T-0181,Kesugihan,Purworejo,150,190.0,93.4,2.03,New,2028,Jawa Tengah,886,LENGTH_OUTLIER
2,RUPTL-JAMALI-T-0138,Rancaekek,Sunyaragi,150,166.0,86.99,1.91,New,2026,Jawa Barat,855,LENGTH_OUTLIER
1,RUPTL-JAMALI-T-0054,Rangkasbitung Baru,Saketi,150,67.6,30.08,2.25,,2030,Banten,833,GENERIC_ENDPOINT
1,RUPTL-JAMALI-T-0170,Batang New,Comal,150,60.0,27.55,2.18,New,2027,Jawa Tengah,885,GENERIC_ENDPOINT
1,RUPTL-JAMALI-T-0174,Dieng,Batang New,150,71.0,33.97,2.09,New,2027,Jawa Tengah,886,GENERIC_ENDPOINT
1,RUPTL-JAMALI-T-0342,Magetan Baru,Dolopo Baru,150,50.0,24.6,2.03,New,2027,Jawa Timur,920,GENERIC_ENDPOINT
1,RUPTL-JAMALI-T-0372,Ngoro,New Porong,150,20.0,10.36,1.93,New,2028,Jawa Timur,922,GENERIC_ENDPOINT
1,RUPTL-JAMALI-T-0401,Trenggalek Baru,PLTU Pacitan,150,84.0,67.13,1.25,New,2032,Jawa Timur,923,GENERIC_ENDPOINT
1,RUPTL-JAMALI-T-0132,Sukatani New,Jababeka II / Pamahan,150,11.0,8.94,1.23,New,2026,Jawa Barat,855,GENERIC_ENDPOINT
